Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,Cluster
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
1,-3.4297802751196924,0.0,-1.5860414786231358,0.0,0.0,0.0,-2.500714566726641,-3.8806610000749817,-3.9052915823993537,0.0,-0.2919277706793777,-1.8706062301437776,-0.5887514795406255,0.0,-3.39521520798473,-0.3121540693820976,0.0,-2.20360266787403,0.0,0.0,0.1673108046836933,-0.4739911366144198,0.0,0.0,0.0,0.0,0.0,-3.8833463495977902,0.0,-3.7520372323978384,0.0,0.0,-2.810572058385029,0.561009232262111,0.0,0.0,-2.9367220383322534,0.0,0.0,0.0,0.8543864178407483,0.0,-0.8709405511704846,0.0,-4.032235935353322,0.0,0.0,0.0,0.0,-0.6148777806898365,0.7928663277596015,0.0,0.0,0.0,-0.3542266515067223,0.1787555875845299,0.0,-3.282831754492454,-3.421443141601081,-2.209472396420507,-3.2133849158972128,0.0,0.0,0.0,-2.7703849866260573,0.0,0.0,0.0,0.0,0.5377438230119587,0.0,0.0,-3.366497540829351,0.0,0.0,-0.6600323048279899,-3.009727938674059,0.3897519656224106,0.7233859595265082,0.0,11.0,0.0,-2.383281946958176,0.0,-2.2464739844123383,0.0,-2.2542379517071396,-1.4267755722052389,-3.827455159394205,0.010545380819227,0.5975699422413328,0.0,11.0,-3.1883280585723046,0.0,-1.6677795523628876,0.0,-1.0106352100135914,-0.1415497002074401,0.0,2
2,-1.6825108455457358,0.0,-0.204823213701023,0.0,0.0,0.0,-5.483357028495812,-0.1470971595606163,-1.2159297120138357,0.0,-3.338907485861911,-5.410635845472929,-0.5129041010827685,0.0,0.6657576425636136,0.0,0.0,-3.9221608036618343,0.0,0.0,0.1042075546789735,-2.457650036898664,0.0,0.0,0.0,0.0,0.0,-4.282577153938311,0.0,-1.857036914221188,0.0,0.0,-2.943908798863323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5161231214437759,0.0,0.0,0.0,-6.982626567815943,0.0,0.0,0.0,0.0,0.9490640712215692,-2.2670122989653523,0.0,0.0,0.0,0.0,-0.0920144563901568,0.0,-1.2470840902173603,-6.8868262230357935,-1.399906747219184,-1.9957196028478967,0.0,0.0,0.0,-5.052760067904595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8383927343234938,0.0,0.0,-1.392672571125138,-5.053840586605711,-1.9331821344613052,0.0,0.0,21.0,0.0,-6.906877229515845,0.0,-1.8512903834024008,0.0,-2.4630893574694355,0.0,-6.12539255523396,0.0,0.0,0.0,21.0,-3.9551071777672866,0.0,-5.137603574048574,0.0,-5.6414410165221485,0.0,0.0,2
3,-5.552683993079034,0.0,-0.5930218318099414,0.0,0.0,0.0,-5.451824288880677,-4.597368463397254,-4.46249791463592,0.0,-1.3468971107968666,-6.644148450467666,-4.617486983690824,0.0,-1.154778940380112,0.0,0.0,0.3312544754745445,0.0,0.0,-4.025388957899092,-4.7211488199868015,0.0,0.0,0.0,0.0,0.0,-4.263808001659028,0.0,-4.832531102573585,0.0,0.0,-2.952350718943992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4464929892275275,0.0,0.0,0.0,-5.505342482096178,0.0,0.0,0.0,0.0,0.0,-1.415869763314504,0.0,0.0,0.0,0.0,-2.5887688916644365,0.0,-4.089954279510873,-9.828346318131205,-1.0903438403406651,-1.238556065958065,0.0,0.0,0.0,-9.72180256328328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.379266692556848,0.0,0.0,-3.051214841010391,-6.238342322257516,-1.6538128097515328,0.0,0.0,31.0,0.0,-10.98541664394763,0.0,0.0,0.0,-2.0585985929694006,0.0,-8.850758850304095,0.0,0.0,0.0,31.0,-4.171905057643727,0.0,-6.4753660256110175,0.0,-9.30767902205218,0.0,0.0,2
4,-2.850651397029459,-0.0499115801822345,-5.339590801641631,-4.534062264029473,-0.8732909828262478,-2.1822233645264855,-2.5365325178276796,-8.012035006574173,-2.7206747508292484,0.4947955210873633,0.0,-7.021084610613933,-1.8539975426636843,0.0,-3.3900127024615427,0.0,0.0,0.667671315488413,-3.875102594533588,0.2502274643185522,-4.875206630154702,-4.27594482684465,-3.5142623392519203,0.0,-0.0221220155258361,0.0,-0.3118883763700122,0.7288635775124126,0.0,-0.4049677970379388,0.4197314793581022,-3.699566993539054,0.0,0.0,0.0,-0.6519988374889616,0.0,0.0,-1.7997754280235645,0.0,-0.7004063170133437,-0.6599940554924046,0.0,-0.6244954886733396,-9.046459498915816,-3.8471147092746216,-1.128510394276263,-1.211262140533683,-1.5432699524099247,0.0,-3.23162389269667,-3.3537399954116234,0.0,-1.0900917962653025,0.0,0.0,0.0,-3.849770030159545,-4.547073949900943,-5.5595213893726445,0.6805107687517524,0.0,-0.4555639185736577,0.0,-4.752720420350112,0.0,0.0,-4.015918035514932,0.8482441370443325,0.0,-4.4303598492415865,0.0,-8.45538334559356,-0.3714224000481039,-4.693164698780379,-4.545707324312318,-1.8496373123593992,-2.4365400601593277,0.0,-3.935094455188736,41.0,0.0,-6.531010428154936,-3.4842450462105945,0.0,0.0,-4.459477338064596,0.0,-5.129825559143221,0.0,0.0,-1.5392344162749994,41.0,-3.920980336871255,0.0,-1.849440240194028,-4.594698099758347,-6.36502101335319,0.0,-1.477074316287018,2
5,-5.298098112171828,0.0,-0.6716054836654486,-3.0305387669538133,-2.2258083455535465,0.0,-4.033621924044826,-6.615489618248522,-6.140895080516378,0.0,0.0,-10.883425858350527,-6.0804715355532855,0.0,-6.251009815263696,-2.8103209358989667,0.0,0.0,-2.2295594023424843,0.0,-7.77968521902854,0.1651078709235163,-7.882171628417041,0.0,0.2397029894044968,0.0,0.9767746629752316,-2.0361343421956177,0.0,-4.519381357860212,0.3161172216411232,0.230480338994063,0.0,-1.2209308282999745,0.0,-1.5472748703910488,-0.1646104836560429,0.0,-3.2505179582855277,0.0,-3.434209416586299,0.0,-3.5445301447084585,0.0,-4.582231895314351,-5.760772989676568,-1.7811761495497778,0.0,-1.3572916398815906,0.0,-6.45075378823481,-7.903643702506288,0.0,-4.1670992615881,-2.78629895555047,0.0,0.0,-4.389435793817844,-5.674699519921054,-7.7452326067864465,0.0,0.0,-4.404025844683731,0.0,-1.7359888736001086,0.0,0.0,-8.705660703912052,0.0,0.0,-5.712332257061501,0.0,-6.994250993618998,-2.3786189746546667,-5.072977352763508,-2.7783826481620206,-0.0601005133284977,-1.6982809175998108,-3.1383120890651584,-5.32208363329436,51.0,0.0,-3.590134885318702,-4.989372570985002,0.0,0.0,-5.279563039536143,-0.3330085062547541,-2.06942545782802,0.0,0.0,-4.406786253102471,51.0,-0.3918003171919233,0.0,-1.8789158671240491,-4.105227793170396,-10.832313425732009,0.0,0.0,2
6,-6.738853682384269,0.0,-0.2157117560696153,-5.239028140830408,-7.037764811142633,0.0,-0.1691770304571909,-9.6064152772674,-4.101592900166212,0.0,0.0,-14.164277286646726,-8.559476375856674,0.0,-2.599508866170395,0.2888734498339831,0.0,0.0,0.0,0.0,-3.294267232560938,0.0,-3.390026892212159,0.0,0.3963854507907957,0.0,-1.9719208912635977,-0.3050012057297102,0.0,-2.835356104159353,0.0,0.2924252983129592,0.0,-2.592720526625808,0.0,-3.843068374177201,0.0,0.0,-0.5118355132384904,0.0,-2.9658711934715347,0.0,-6.270013388457905,0.0,-2.0680258285223614,-4.280809308078755,-4.512892464311239,0.0,0.0,0.0,-10.61471931196964,-4.330025128015471,0.0,-4.313806010213506,-5.293755374898773,0.0,0.0,-8.903038423068299,-7.215505714483843,-4.257779521593909,0.0,0.0,0.0532206676749131,0.0,0.0,0.0,0.0,-9.62681878786341,0.0,0.0,-9.856794356643825,0.0,-2.769761793336757,0.0,-9.097254811978829,0.9674790892254944,-1.5842737564503215,-6.2610876259991,-4.053599270316402,-6.812644036989015,61.0,0.0,-7.134558868324137,-2.1389282170784067,-0.8736510144662777,0.0,-6.548830317919688,-4.954196415955906,-6.569810678818646,0.0,0.0,-0.4299848887087627,61.0,-4.69546370960504,0.0,0.797723183030216,-0.1815667374236218,-7.307871902434543,0.0,0.0,2
7,-9.14123635278994,0.0,-3.2379062171293933,-8.294553023819823,-6.764136081694362,0.0,-0.0766131674157673,-7.470912360104848,-7.653317642226668,0.0,-0.3074022093034498,-14.275092116009692,-9.049558335751671,-2.203800535193764,-2.4716942871716054,0.7418947768341329,0.0,0.0,0.0,0.0,-6.126414303239576,0.0,-5.617126483373648,-4.516680585883735,0.1467092400658688,-2.396802505088609,-0.0318524495706225,0.0,0.0,-2.1807805690614552,0.0,0.0,-0.6410997378394878,0.0,-0.080917178751787,-3.3240377415700704,0.0,-3.845970141432789,-3.6966248536021777,0.5866003121890682,-3.5084045325742435,0.0,-5.772199048943521,0.0,0.0,-8.335641485918723,-1.4235273842762268,0.0,0.0,0.0,-14.796563854924123,-4.337026155487011,-2.4411719094631956,-5.2925603852093435,-3.688523527815681,0.0,0.0,-6.259727678205509,-10.616484050008028,-3.061830032629806,0.0,0.9701424363877392,-4.283023169212726,-0.8524252323371728,0.0,0.0,-2.664471549522605,-12.518067713297931,0.0,0.0,-9.111660684886946,0.0,-2.6321122890399336,0.0,-4.971918929791391,-2.6846525710363123,-2.35749122250842,-9.040703972295509,-8.547277503770184,-9.618513311096104,71.0,-2.2813782458109277,-9.197084954344636,-3.4844627392641656,-4.462207720664829,-2.5261226463952244,-6.954939037389991,-3.523880586433118,-5.235015881765484,0.0,0.0,0.5363686723912894,71.0,-6.8528607394583245,0.0,0.0,-2.164099648157567,-7.537726106634285,0.0,0.0,2
8,-10.60381171302802,0.0,0.0,-3.2118761212999374,-10.72670051831349,-1.547586242356449,-0.294126902314835,-11.746801877261731,-10.165908491831228,-1.1881859813898332,0.0,-9.653419113533737,-9.669954800232375,-5.88777042249203,-3.9766030831060504,-3.83691872001615,0.0,0.0,0.0,-4.825079677973324,-10.74913802018837,0.0,-3.604106735726804,-4.327739743247637,-3.177867721653646,-6.247691634242097,-3.088813584434534,0.0,0.0,-6.69153622174005,0.0,0.0,-3.3529907392577267,0.0,0.0,-5.921434235295038,0.0,-8.186101585761406,-5.3072766478453675,-4.4403199353628935,-6.149132600580211,0.1549967763520285,-3.237666315630663,-0.3012969256116165,0.0,-10.39156646208415,-1.4478321481149012,0.0,0.0,0.0,-11.97040447606698,-2.9016276082295045,0.0,-2.284871690905134,-5.660475574618729,0.0,0.0,-3.915379595543313,-13.943645863532492,-2.8648398206140064,-1.9101614981821835,0.0,0.5802437173049482,0.0,0.0,0.0,-1.4845978784931173,-13.29787558834569,-1.4179348013855997,-4.720402798930133,-6.266239814020724,0.0,-4.917364325687988,0.0,-3.3243633707484372,0.9732764535193956,0.2029316397143636,-9.29202653430274,-6.494579430178147,-4.435427676331344,81.0,-2.0408132232318605,-7.271010951186347,-3.7786740856948087,-2.564442829877393,-1.28540152754312,-10.2135667942698,0.1385551798044826,-5.2302308823318455,-2.936119827726719,0.0,-3.83505558228749,81.0,-7.401560469059312,0.0,0.0,-2.79527097045378,-4.227054473630018,0.0,0.0,2
9,-11.114327989323758,0.0,0.0,0.7261835546433351,-12.07062404523034,-6.4357746825574145,-2.7343956945264587,-11.96236359198316,-5.7626562548601665,-5.02270444045552,0.0,-7.4245025709370385,-12.54252717026607,-10.476992852072488,-4.3041759629440595,-4.339749976095805,0.0,0.0,-3.810920881982783,-0.6027744116962968,-8.713312356126792,0.0,-4.451573003308724,-2.1545558314044433,-5.15207036185202,-5.924592777472648,-2.578093209749397,0.0,0.0,-6.058194116591651,0.0,0.0,-8.037833865928578,0.0,0.0,-3.686033395889135,0.0,-10.482943097984332,-1.3443361824911886,-4.914988040494097,-1.7237332733877722,0.0,-7.841037032614594,0.0,0.0,-13.043034104148973,-2.2429097116298795,0.0,0.0,-3.206711344275229,-9.062109332737874,-6.017460259747439,0.0,-3.028126468864495,-9.796451832705689,0.0,0.0,-0.8554101287917297,-16.890532488378398,0.0,-1.8846159647373488,0.0,-3.8991211807412665,0.0,0.0,0.0,-6.091094055126058,-12.391457828407546,-3.8304304498705335,-7.463743430439259,-6.849284490738721,0.0,-3.678303991113186,-4.31164932617088,-5.8513625406983065,-2.936675069322827,-1.4439800016317268,-13.590077276575563,-5.068671379321812,0.4154669013096415,91.0,-2.986952730075984,-11.21880271802851,-5.0635418441542654,0.0,0.0,-4.7068904255826,0.1452331715515868,-2.243784902080587,-7.58456888366078,0.0,-2.8508043755393744,91.0,-5.321410057587999,0.0,0.0,-2.417835382332555,-6.941367587207729,0.0,0.0,2
