Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Cluster
0,0.5663,0.9127,0.5457,0.3901,0.087,0.5939,0.6347,0.0265,0.3346,0.6105,0.4452,0.517,0.2868,0.3682,0.6042,0.8384,0.2311,0.399,0.3593,0.2449,0.1707,0.7868,0.4691,0.4755,0.2325,0.4652,0.6484,0.117,0.3624,0.6531,1
1,-2.5342,-4.8419,-6.7102,0.4852,-5.1298,-70.0,-4.8969,-7.1606,-0.0764,-4.2778,0.1659,-1.4464,-1.2494,-6.2451,-0.0814,-6.4682,0.6918,-1.5493,-7.4866,-3.6989,-6.9487,-7.3204,-3.0668,-4.2916,-2.8239,-6.9124,-1.4587,-3.758,-0.0408,-4.6608,1
2,-3.7021,-6.3968,-8.3769,-70.0,-5.208,-70.0,-8.8047,-14.1354,-1.2433,-8.1931,-4.049,-0.57,-4.7747,-6.3392,-2.9649,-8.7091,-70.0,-8.7942,-7.5138,-7.9798,-10.8566,-8.7432,-2.6392,-6.6871,-8.4668,-5.5033,-1.3204,-11.9363,-4.8857,-10.4559,1
3,-7.9595,-11.1064,-11.7564,-70.0,-10.9903,-70.0,-11.8617,-14.3077,-1.0181,-7.3713,-10.7944,-7.6953,-6.7567,-7.6752,-2.0229,-8.243,-70.0,-12.539,-5.9984,-10.5673,-18.3688,-15.6208,-4.18,-10.1754,-9.648,-4.0389,-6.3209,-11.8093,-4.3429,-14.8982,1
4,-12.3557,-9.2067,-17.6879,-70.0,-13.8432,-70.0,-19.5163,-19.3667,-0.6997,-11.2413,-9.6259,-8.4155,-7.0343,-12.7129,-3.7217,-13.1874,-70.0,-15.7339,-10.8253,-10.0417,-24.6115,-14.8064,-5.7318,-11.9337,-17.6457,-7.6974,-4.9326,-14.0807,-10.5069,-18.4765,1
5,-15.506,-14.3194,-24.1396,-70.0,-19.0944,-67.958,-21.1027,-17.664,-6.1133,-17.8929,-16.7136,-7.8634,-13.9729,-17.8923,-8.6322,-20.6908,-70.0,-18.2022,-17.2931,-14.3483,-25.7156,-15.3147,-4.4036,-12.4989,-17.3136,-13.8235,-11.7145,-13.8521,-13.339,-17.1185,1
6,-17.4948,-12.1597,-27.9297,-66.0018,-25.0094,-68.3457,-25.7728,-16.3723,-10.5433,-18.8873,-19.4014,-12.2997,-15.8058,-24.2043,-16.2467,-24.1983,-70.0,-16.6063,-19.8607,-16.5812,-26.2921,-13.9609,-5.8165,-11.2378,-22.2807,-18.4529,-16.2834,-21.4514,-11.2376,-20.0959,1
7,-19.1309,-10.8281,-31.8951,-67.6362,-28.5442,-69.9386,-30.5149,-23.5784,-15.9613,-21.5214,-26.6946,-12.7094,-21.2526,-29.6857,-15.658,-22.6545,-66.5304,-23.9927,-27.2859,-17.0713,-28.1484,-18.602,-7.1268,-16.1394,-21.5074,-20.7234,-18.0648,-23.6344,-16.891,-25.1942,1
8,-16.7351,-11.764,-30.6487,-70.0,-26.5733,-70.0,-29.0359,-22.9017,-17.7055,-20.7127,-29.0543,-15.3467,-18.9801,-30.1684,-17.8402,-24.019,-70.0,-26.4,-24.4585,-18.0026,-33.531,-25.7272,-6.4968,-23.0297,-25.9848,-18.7536,-22.8974,-29.4847,-17.0796,-25.4086,1
9,-15.8678,-16.5193,-31.1276,-65.0006,-32.0957,-68.2519,-35.4091,-21.3211,-15.6744,-20.1513,-30.3331,-14.4793,-20.1424,-29.4989,-18.1841,-21.4696,-67.3692,-28.1004,-30.5097,-22.5137,-35.3973,-30.6287,-8.03,-21.1116,-26.6004,-18.1885,-26.514,-32.9996,-18.3468,-31.3875,1
