Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Neuron_30,Neuron_31,Neuron_32,Neuron_33,Neuron_34,Neuron_35,Neuron_36,Neuron_37,Neuron_38,Neuron_39,Neuron_40,Neuron_41,Neuron_42,Neuron_43,Neuron_44,Neuron_45,Neuron_46,Neuron_47,Neuron_48,Neuron_49,Cluster
69,-70.0,-60.2642,-61.9074,-66.1797,-64.9894,-66.2529,-63.4368,-55.5022,-57.2224,-69.7531,-48.5712,-69.6765,-66.6959,-53.419,-64.6216,-53.7008,-66.6888,-70.0,-68.9107,-60.0226,-66.3114,-70.0,-53.3773,-50.8354,-63.1881,-65.8934,-58.5088,-70.0,-59.2142,-66.6903,-63.9988,-68.93,-60.5361,-60.816,-64.6726,-63.2108,-64.9335,-60.0508,-60.3836,-70.0,-58.2578,-63.8107,-70.0,-70.0,-61.8078,-70.0,-68.9621,-47.9348,-53.6695,-70.0,0
70,-70.0,-56.1824,-67.0608,-66.3551,-68.7739,-63.9079,-62.0652,-56.949,-54.753,-65.6807,-47.1168,-64.9881,-66.6458,-53.6483,-65.0713,-55.2711,-66.4111,-66.6399,-70.0,-58.3493,-66.4788,-68.8543,-49.3554,-47.0256,-67.4936,-62.7137,-59.4022,-70.0,-64.4047,-64.502,-65.6894,-70.0,-60.0297,-56.363,-63.6847,-62.5851,-67.4708,-60.6389,-58.0226,-65.2708,-56.1318,-62.6128,-65.2491,-70.0,-61.8046,-70.0,-70.0,-50.5869,-55.0348,-67.6869,0
71,-70.0,-53.848,-70.0,-68.9127,-68.0757,-66.3125,-65.3256,-57.8465,-53.7331,-68.1856,-46.3116,-63.9983,-67.0697,-54.492,-69.5035,-57.2422,-62.2061,-68.4544,-69.9929,-55.5452,-69.649,-68.2559,-55.1076,-46.4754,-66.0028,-62.6334,-60.5396,-70.0,-61.2355,-69.0882,-70.0,-70.0,-60.5279,-55.7597,-62.4229,-63.2992,-66.5488,-58.9392,-54.99,-63.5929,-51.8773,-63.5488,-62.5046,-70.0,-66.1845,-70.0,-70.0,-49.765,-57.6645,-68.2481,0
72,-70.0,-54.172,-70.0,-64.3795,-70.0,-68.2814,-63.606,-59.3296,-53.5554,-64.9015,-49.4611,-61.0097,-65.6209,-56.5576,-70.0,-61.4167,-57.9352,-63.6286,-69.186,-53.8638,-67.9819,-70.0,-53.1368,-44.7404,-69.2526,-65.9079,-59.6991,-70.0,-56.933,-70.0,-65.9326,-70.0,-58.1067,-52.9075,-64.2706,-58.7866,-69.241,-61.4057,-58.6502,-67.9977,-53.5976,-66.8828,-59.5467,-70.0,-70.0,-70.0,-68.1762,-48.4868,-55.4486,-68.6004,0
73,-70.0,-58.8966,-69.4714,-67.6588,-70.0,-69.3445,-61.0456,-64.3101,-56.3481,-65.1763,-48.0786,-61.1774,-61.7222,-52.4867,-70.0,-64.723,-54.1551,-61.7213,-70.0,-50.7274,-70.0,-69.6434,-57.0452,-41.0263,-70.0,-63.9845,-62.1508,-70.0,-59.6777,-66.9293,-70.0,-67.0716,-62.3015,-54.7922,-67.3948,-59.6614,-70.0,-60.3054,-57.5268,-65.9039,-53.4755,-65.5832,-58.4836,-65.4172,-67.928,-70.0,-65.2304,-47.1217,-57.5586,-67.5598,0
74,-69.8907,-61.4995,-69.1441,-63.9743,-70.0,-67.9088,-62.3378,-67.8574,-56.0313,-69.8078,-51.1684,-61.0844,-64.7609,-54.9754,-68.7575,-66.2123,-50.9882,-63.9246,-70.0,-49.6885,-70.0,-70.0,-54.7437,-46.696,-70.0,-63.1093,-65.7922,-68.1299,-62.657,-70.0,-70.0,-69.9014,-59.3745,-56.1761,-70.0,-57.3318,-66.2284,-57.2522,-54.6816,-62.5944,-50.5847,-67.3516,-55.1868,-65.8888,-70.0,-65.894,-68.6757,-50.6995,-57.7054,-64.2592,0
75,-70.0,-58.9792,-68.3828,-66.1564,-70.0,-64.5905,-64.1835,-63.9786,-61.3269,-70.0,-53.475,-58.8,-64.1738,-55.2172,-69.4973,-64.6737,-48.6486,-63.9058,-70.0,-54.8529,-70.0,-70.0,-57.7942,-45.9551,-70.0,-66.4569,-62.9021,-68.3604,-58.5553,-65.0736,-70.0,-70.0,-60.9242,-61.2027,-67.9484,-61.8972,-70.0,-60.3149,-52.6963,-65.4561,-53.9502,-66.2071,-55.1362,-66.0442,-67.8122,-61.4289,-70.0,-50.2661,-59.5572,-60.7607,0
76,-70.0,-56.1986,-66.1634,-67.1384,-70.0,-60.7355,-63.9483,-63.1198,-63.7235,-70.0,-52.0724,-56.4966,-62.9796,-57.0832,-66.2641,-66.4836,-53.7066,-66.5252,-70.0,-57.8141,-66.9982,-66.1888,-59.954,-51.6984,-65.1469,-65.1165,-62.24,-65.0554,-56.1649,-62.4665,-68.6806,-68.186,-57.8281,-58.8184,-63.9144,-58.4641,-68.8742,-65.1285,-48.9149,-70.0,-56.0406,-62.4101,-60.6328,-63.431,-69.623,-58.5646,-70.0,-52.744,-61.7057,-66.091,0
77,-70.0,-59.3999,-65.2569,-68.2311,-70.0,-57.4109,-63.2569,-64.2934,-65.6172,-68.0446,-57.3395,-53.5706,-65.0132,-57.7593,-69.724,-70.0,-58.8947,-65.8429,-67.4649,-55.083,-70.0,-66.5318,-57.7965,-50.0594,-64.3955,-62.8363,-58.0654,-61.8502,-52.3879,-62.8904,-67.3603,-70.0,-54.7422,-56.9426,-60.9708,-62.5128,-64.3896,-64.6086,-46.5414,-70.0,-52.0258,-60.3371,-61.7345,-61.5547,-70.0,-61.7056,-68.9957,-56.9182,-61.1778,-65.8675,0
78,-70.0,-58.1992,-66.1459,-68.1343,-70.0,-58.8736,-61.0641,-66.2531,-63.4628,-67.4127,-55.0152,-51.1662,-61.7973,-59.3473,-70.0,-70.0,-61.3488,-68.5604,-66.5476,-58.9277,-65.4977,-70.0,-57.0084,-50.5742,-67.6963,-65.1078,-54.7749,-58.8395,-49.1091,-66.5558,-63.6924,-66.5418,-55.3028,-54.3999,-65.8872,-58.3277,-69.4404,-65.524,-50.35,-70.0,-54.9537,-63.4449,-61.2355,-64.901,-68.1994,-63.7729,-70.0,-53.7957,-61.7181,-66.6046,0
79,-70.0,-58.6986,-65.9513,-70.0,-67.6012,-60.87,-65.2921,-66.8212,-64.4055,-70.0,-50.9921,-51.7815,-63.0452,-61.5415,-70.0,-70.0,-57.1411,-70.0,-64.6134,-61.2793,-70.0,-70.0,-58.6329,-46.7001,-67.6171,-69.6015,-54.496,-56.3073,-46.1411,-67.8898,-61.589,-68.096,-52.8108,-51.1195,-66.523,-63.7543,-70.0,-63.0323,-56.2932,-69.64,-59.5913,-65.648,-64.0293,-64.5574,-70.0,-65.2679,-68.1655,-51.7987,-57.7676,-67.8889,0
80,-70.0,-61.9246,-65.6212,-70.0,-62.9805,-64.3363,-62.3893,-65.8946,-61.9699,-70.0,-54.6963,-50.0286,-60.5941,-63.5685,-70.0,-65.4427,-58.4697,-67.8268,-60.1712,-65.0262,-70.0,-69.9028,-61.3194,-52.2941,-68.1765,-70.0,-50.6959,-54.6157,-47.7688,-63.4873,-66.5979,-67.1301,-53.1531,-51.8965,-68.1864,-68.6229,-70.0,-61.4637,-59.6354,-70.0,-59.4652,-66.3409,-67.2535,-67.7094,-70.0,-68.6423,-63.8112,-51.4534,-58.2793,-69.6726,0
81,-68.1594,-63.9914,-68.3535,-70.0,-61.6955,-61.0681,-65.0527,-64.8035,-58.8331,-69.2746,-54.0577,-54.4363,-56.4459,-61.6517,-67.534,-61.1607,-55.007,-64.5946,-60.1191,-68.7179,-70.0,-68.4062,-64.8151,-57.3131,-69.4199,-70.0,-49.3165,-50.8737,-47.2604,-65.1255,-69.5864,-69.5636,-55.6963,-54.3037,-70.0,-66.3199,-67.6801,-57.0488,-60.4729,-70.0,-62.9233,-68.9109,-67.4532,-70.0,-69.1879,-70.0,-67.1064,-56.4588,-55.5421,-68.0636,0
82,-70.0,-68.4883,-63.7657,-70.0,-64.1252,-60.9676,-66.1015,-62.7672,-59.2301,-70.0,-54.1016,-50.4341,-61.9683,-63.2799,-70.0,-66.3193,-59.3532,-65.8896,-56.8424,-69.6511,-70.0,-68.3187,-68.4805,-58.8367,-65.3454,-70.0,-46.6839,-56.0786,-49.6993,-68.8637,-70.0,-67.1058,-55.2891,-56.8448,-68.3543,-62.7501,-65.6421,-56.3257,-64.6983,-70.0,-59.5389,-66.0073,-64.7938,-70.0,-70.0,-70.0,-68.2765,-56.5371,-56.2459,-70.0,0
83,-70.0,-66.1427,-66.5943,-65.1439,-63.3171,-60.8255,-65.5778,-61.0735,-61.3516,-70.0,-52.4444,-53.6629,-64.1855,-63.1285,-69.1078,-66.394,-57.2532,-61.3668,-58.3575,-66.3101,-65.2013,-67.0525,-64.6629,-54.691,-68.2365,-70.0,-51.7042,-55.8385,-55.603,-70.0,-70.0,-70.0,-57.7939,-56.4752,-70.0,-65.8336,-67.9028,-56.2627,-63.0367,-69.1048,-62.9396,-66.2123,-66.2431,-69.8936,-70.0,-70.0,-67.1575,-52.7799,-59.4504,-70.0,0
84,-70.0,-70.0,-64.6507,-64.5089,-63.5362,-64.8148,-70.0,-59.5745,-61.2487,-70.0,-52.4851,-52.7021,-67.2147,-68.4539,-70.0,-70.0,-53.7153,-64.3805,-59.1848,-70.0,-62.2687,-65.3467,-66.2844,-55.0383,-70.0,-66.4251,-55.2024,-60.144,-56.2944,-70.0,-70.0,-65.4233,-55.5522,-61.1016,-70.0,-65.6639,-70.0,-53.6684,-63.2718,-66.2816,-61.4355,-67.3484,-68.113,-65.4118,-70.0,-66.7815,-70.0,-56.6146,-57.2412,-70.0,0
85,-69.3454,-66.4416,-60.5141,-66.927,-67.3735,-60.476,-65.5808,-55.4532,-62.8189,-70.0,-57.0705,-49.4975,-64.7219,-70.0,-70.0,-67.0656,-50.8735,-62.1299,-63.2517,-70.0,-59.9752,-70.0,-70.0,-53.5628,-70.0,-63.9944,-54.5269,-63.043,-59.5626,-70.0,-66.5996,-64.2226,-52.8281,-60.2587,-68.4158,-67.4374,-70.0,-50.254,-65.9689,-70.0,-60.4233,-66.2501,-64.4129,-69.3796,-70.0,-70.0,-70.0,-60.7761,-57.0114,-70.0,0
86,-68.8403,-65.9536,-59.6085,-68.8599,-69.8293,-61.761,-68.696,-57.9225,-61.871,-68.8344,-57.6365,-53.137,-61.9826,-70.0,-69.0033,-64.1816,-50.8687,-64.3967,-62.3481,-70.0,-64.5511,-65.0117,-69.0772,-51.6376,-69.428,-61.0741,-58.0144,-61.9367,-61.3273,-67.7176,-64.449,-63.3775,-50.6716,-62.6615,-66.1497,-64.561,-70.0,-54.3116,-67.5137,-68.9763,-64.1027,-70.0,-65.6098,-70.0,-66.8949,-70.0,-70.0,-65.5914,-55.7737,-67.933,0
87,-69.106,-64.799,-55.354,-70.0,-67.5594,-60.5845,-65.0692,-57.4485,-67.1145,-69.6037,-53.9204,-52.3295,-63.4938,-68.2777,-64.5676,-66.6498,-52.4178,-68.906,-63.1509,-65.275,-62.2277,-60.2737,-66.8467,-54.1929,-70.0,-65.2521,-58.2901,-65.5701,-65.0968,-65.8688,-67.0869,-63.3581,-55.5081,-58.7915,-70.0,-67.0612,-67.6375,-55.9128,-70.0,-70.0,-62.6956,-70.0,-70.0,-70.0,-67.6865,-68.6873,-70.0,-61.1005,-58.6451,-67.8243,0
88,-65.3944,-64.549,-59.9364,-65.2629,-70.0,-61.5565,-61.1515,-62.3891,-63.1835,-70.0,-52.872,-51.4712,-65.7691,-69.3544,-62.9195,-67.0708,-54.5478,-70.0,-67.0358,-64.3717,-65.1959,-62.8752,-63.9768,-54.8952,-70.0,-67.6978,-59.2801,-67.5206,-65.917,-65.3349,-68.8497,-66.3512,-52.4842,-60.7012,-70.0,-70.0,-70.0,-54.3281,-70.0,-69.0837,-60.4785,-70.0,-68.3355,-68.7367,-70.0,-67.7541,-65.425,-58.7857,-62.8773,-67.6116,0
89,-64.2455,-65.0264,-64.6308,-64.6216,-70.0,-57.1679,-62.9277,-64.3111,-64.3032,-70.0,-49.5766,-52.9832,-66.8336,-68.8232,-58.8774,-64.8942,-54.7588,-67.6887,-62.5487,-64.5234,-66.8904,-67.8116,-68.3087,-56.9822,-70.0,-67.7785,-63.2518,-63.0544,-66.5513,-66.3089,-70.0,-63.807,-50.0628,-57.9724,-68.2129,-67.0418,-68.3558,-57.9736,-67.2039,-68.4828,-56.7942,-67.77,-68.6503,-69.6463,-70.0,-67.6145,-68.3017,-61.1101,-63.4318,-68.8012,0
90,-65.7206,-65.4834,-69.6994,-62.026,-70.0,-55.4844,-66.2784,-69.2913,-65.4237,-70.0,-50.254,-56.4205,-62.1339,-70.0,-61.9061,-68.9448,-58.3593,-66.4509,-63.8927,-62.0215,-70.0,-70.0,-70.0,-54.7058,-70.0,-64.1385,-66.3917,-63.0321,-68.2969,-70.0,-67.5189,-60.627,-55.5653,-53.8134,-65.404,-70.0,-63.8976,-54.3364,-68.5643,-66.2619,-53.2912,-70.0,-70.0,-70.0,-70.0,-68.933,-68.7147,-62.9646,-63.6086,-69.0434,0
91,-61.1324,-67.5843,-65.9052,-60.703,-69.2337,-57.1708,-68.9601,-65.6477,-64.3032,-69.5992,-53.7645,-54.1754,-58.2582,-70.0,-62.898,-70.0,-62.8619,-70.0,-64.8613,-60.0382,-70.0,-70.0,-66.8923,-51.4304,-67.5062,-62.1581,-62.9666,-58.6008,-67.2622,-67.7016,-65.1632,-63.8202,-53.2474,-54.6733,-62.1932,-70.0,-63.3485,-58.3748,-65.3133,-70.0,-51.6561,-70.0,-70.0,-67.3252,-70.0,-68.4369,-70.0,-60.7585,-67.219,-65.4806,0
92,-64.6191,-70.0,-64.2404,-60.5743,-70.0,-57.1087,-65.6976,-67.2677,-68.142,-70.0,-58.0326,-54.684,-61.4611,-66.7626,-60.9307,-68.7177,-61.7082,-67.3923,-66.7582,-62.4927,-66.8987,-66.6512,-67.2437,-52.4118,-68.5953,-58.1535,-67.9617,-58.73,-70.0,-63.8576,-67.0608,-64.7357,-54.2661,-60.1635,-57.8421,-70.0,-61.7702,-63.8621,-69.0055,-68.3719,-54.3231,-70.0,-65.8497,-67.0601,-67.4745,-64.1495,-68.7213,-62.4177,-66.0518,-67.8719,0
93,-69.7663,-65.0861,-61.3978,-60.6311,-66.9473,-62.212,-70.0,-68.2683,-65.526,-70.0,-56.6535,-51.5994,-65.4812,-67.5434,-61.3648,-70.0,-59.377,-63.044,-65.3068,-63.2651,-66.2218,-64.4065,-65.8611,-57.5566,-66.9929,-58.8979,-70.0,-61.3971,-66.5029,-67.6528,-62.5975,-62.1967,-58.2214,-61.1646,-60.3984,-69.9112,-63.9433,-68.2029,-65.5774,-70.0,-51.2403,-68.6806,-68.2394,-70.0,-66.33,-69.1224,-66.6096,-60.4401,-66.6902,-64.0239,0
94,-66.7477,-61.96,-57.6633,-64.3133,-63.6754,-64.109,-67.5238,-64.5976,-62.8536,-69.8986,-61.9575,-55.4279,-62.1926,-70.0,-64.8208,-67.45,-56.4819,-60.9727,-66.4287,-64.1702,-68.2689,-62.5633,-67.2251,-61.8734,-67.2833,-63.9524,-70.0,-58.1736,-70.0,-65.6442,-66.025,-57.8537,-63.3634,-58.3679,-59.4977,-69.4489,-65.9056,-65.3079,-67.2287,-70.0,-56.1489,-68.3855,-69.4957,-66.0071,-70.0,-67.0787,-70.0,-59.2011,-67.3931,-64.732,0
95,-68.6716,-58.9484,-57.253,-64.7529,-62.9704,-69.2534,-64.1899,-65.1186,-58.4194,-70.0,-64.8621,-56.8539,-66.0632,-67.5626,-64.0687,-70.0,-59.5694,-66.3122,-65.5196,-62.9372,-69.2422,-61.4891,-68.6206,-59.0912,-70.0,-65.5091,-70.0,-54.0662,-65.7004,-69.4505,-66.782,-60.7431,-65.1069,-56.0752,-56.917,-70.0,-70.0,-61.2588,-64.1326,-66.1922,-57.9848,-70.0,-70.0,-66.4363,-65.6642,-65.9585,-70.0,-55.8828,-68.0363,-68.9255,0
96,-70.0,-58.4585,-52.9215,-66.4777,-63.9995,-70.0,-68.1122,-70.0,-63.1732,-69.9752,-65.519,-53.9689,-70.0,-65.7261,-64.7793,-70.0,-64.6875,-70.0,-60.8721,-61.9157,-70.0,-59.1755,-70.0,-56.2034,-65.451,-66.1034,-67.6455,-49.9551,-68.8925,-64.7988,-70.0,-63.3992,-70.0,-54.4752,-56.8844,-65.6287,-70.0,-57.7868,-61.1119,-64.405,-54.5985,-70.0,-70.0,-69.267,-69.5384,-63.6295,-70.0,-58.189,-69.7528,-69.4749,0
97,-70.0,-54.98,-51.3244,-70.0,-66.6237,-68.4651,-70.0,-66.1711,-60.404,-70.0,-68.8457,-56.3436,-70.0,-62.791,-65.4476,-70.0,-68.4032,-70.0,-61.6247,-58.9806,-69.7583,-57.0692,-67.5074,-58.2107,-66.7777,-62.9319,-68.6575,-53.3595,-64.6809,-69.3706,-69.88,-66.2492,-68.2108,-51.2453,-59.7614,-65.1741,-70.0,-54.3394,-63.129,-61.0716,-55.3274,-70.0,-67.5199,-66.7925,-65.0007,-65.8425,-70.0,-61.42,-67.021,-70.0,0
98,-70.0,-52.0134,-55.9036,-65.6943,-63.407,-70.0,-70.0,-68.9397,-58.055,-65.5912,-66.7192,-54.6453,-68.7095,-61.5378,-65.2377,-67.5409,-64.1046,-70.0,-64.5286,-58.8381,-70.0,-61.4822,-69.6433,-56.4837,-63.3765,-65.7217,-67.9154,-56.8046,-67.8694,-68.6959,-68.6143,-69.869,-69.4744,-51.7385,-58.7988,-68.7485,-66.0036,-58.3924,-60.0304,-56.6716,-58.7706,-70.0,-67.6583,-67.2002,-68.0495,-62.7312,-65.319,-61.7754,-70.0,-70.0,0
99,-70.0,-50.9449,-57.1321,-64.8909,-63.8272,-70.0,-70.0,-65.3133,-59.4416,-69.2437,-68.7866,-55.6222,-64.2663,-63.5644,-66.9534,-68.978,-59.9329,-66.9781,-66.404,-60.5654,-65.234,-61.1093,-70.0,-57.6963,-68.6051,-67.0627,-65.0769,-54.0051,-70.0,-70.0,-70.0,-70.0,-70.0,-51.3575,-62.7268,-70.0,-66.6139,-57.4029,-62.7856,-61.5433,-58.4146,-70.0,-62.8724,-68.4574,-70.0,-63.9419,-68.1183,-65.8126,-70.0,-67.1746,0
100,-70.0,-48.8357,-57.1625,-62.4713,-66.152,-70.0,-70.0,-64.4603,-59.3406,-70.0,-70.0,-52.9922,-67.079,-65.7619,-65.9384,-70.0,-57.7929,-69.2346,-67.2465,-59.4319,-69.6481,-60.9729,-70.0,-55.9,-70.0,-66.7747,-65.3224,-59.1037,-70.0,-70.0,-70.0,-70.0,-66.4874,-48.4724,-58.7525,-70.0,-67.7855,-59.0975,-59.1766,-58.5695,-57.7146,-70.0,-62.7036,-66.3302,-70.0,-68.9469,-69.8582,-70.0,-68.0913,-64.1103,0
