Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Neuron_30,Neuron_31,Neuron_32,Neuron_33,Neuron_34,Neuron_35,Neuron_36,Neuron_37,Neuron_38,Neuron_39,Neuron_40,Neuron_41,Neuron_42,Neuron_43,Neuron_44,Neuron_45,Neuron_46,Neuron_47,Neuron_48,Neuron_49,Cluster
42,-53.6407,-67.068,-52.0824,-62.8609,-70.0,-60.0636,-65.1999,-46.1408,-70.0,-64.8905,-54.2315,-50.7655,-66.8291,-58.0139,-66.2661,-52.2225,-61.5838,-57.954,-63.8005,-58.1911,-55.9265,-39.5995,-64.0496,-63.7674,-70.0,-59.8439,-55.6494,-67.8976,-48.8066,-57.976,-61.9787,-66.2883,-48.6295,-60.3728,-63.934,-61.0214,-53.9106,-59.6975,-57.0024,-62.8337,-70.0,-66.8549,-64.875,-59.456,-62.1318,-65.1976,-59.6587,-55.4163,-63.2938,-70.0,0
43,-52.2934,-68.7264,-57.9024,-64.4824,-68.1654,-65.1524,-65.8133,-48.041,-70.0,-68.5201,-54.1263,-48.6422,-69.1046,-58.5068,-64.1975,-52.713,-66.9275,-57.1276,-61.3871,-60.242,-58.2662,-46.0183,-63.4727,-61.0643,-70.0,-58.7483,-51.6898,-70.0,-45.8427,-55.4272,-60.3197,-67.6595,-51.0871,-64.5263,-66.4826,-60.7797,-58.582,-57.3627,-58.1109,-61.5591,-70.0,-66.7898,-63.7713,-61.3581,-61.9197,-69.6697,-56.2584,-55.608,-66.8688,-66.0996,0
44,-51.4641,-70.0,-61.7523,-66.6888,-70.0,-65.9729,-63.3166,-52.9048,-65.9926,-65.7966,-57.2953,-52.6418,-70.0,-56.2195,-67.5122,-49.587,-70.0,-54.0077,-60.5136,-60.3346,-60.8603,-51.4426,-62.4639,-63.6211,-70.0,-62.2207,-49.8769,-69.9914,-44.6562,-60.7438,-57.8688,-70.0,-50.4703,-60.0083,-67.0487,-59.5865,-59.2635,-55.2442,-54.0999,-58.2585,-67.7674,-67.11,-60.3894,-64.1459,-61.5319,-66.0062,-57.9736,-52.7514,-67.4516,-69.6382,0
45,-53.3202,-65.3775,-64.7883,-62.0951,-70.0,-61.7536,-60.7446,-51.0133,-62.318,-62.5995,-55.4772,-53.1399,-67.6559,-53.2398,-65.3662,-52.2579,-65.39,-56.7934,-63.7989,-60.8832,-61.3689,-49.1337,-58.0375,-62.0772,-70.0,-59.1311,-48.3045,-68.1507,-46.4424,-64.3534,-58.2017,-68.0279,-53.7163,-59.0535,-64.618,-64.762,-55.7653,-52.7954,-59.6243,-54.129,-64.6769,-68.7895,-62.6274,-68.4321,-62.0189,-65.9428,-56.2821,-53.1553,-68.757,-70.0,0
46,-50.2848,-66.0987,-67.7101,-59.9994,-69.5592,-59.9466,-58.1903,-55.4168,-61.4996,-66.435,-52.997,-57.8624,-70.0,-50.9256,-63.7041,-54.3117,-69.2978,-56.553,-65.2253,-58.0451,-62.2304,-46.1043,-58.625,-58.3546,-68.8324,-58.4402,-45.1058,-70.0,-47.4679,-66.1824,-58.6818,-70.0,-58.019,-57.7479,-63.568,-60.2291,-59.8702,-52.3951,-61.1649,-59.4089,-65.3717,-64.4169,-64.7132,-68.1483,-58.7669,-69.2174,-61.5439,-57.6977,-70.0,-70.0,0
47,-49.7928,-61.7787,-64.5951,-64.9194,-64.8915,-62.5806,-57.134,-56.1942,-59.1814,-66.6753,-51.0812,-55.247,-70.0,-54.1134,-65.9129,-59.843,-70.0,-60.2412,-63.0826,-56.3569,-67.3787,-47.2578,-56.1091,-57.8827,-70.0,-54.0681,-50.3436,-70.0,-53.0385,-67.7739,-56.9699,-70.0,-57.1862,-59.352,-65.9359,-63.9678,-60.8486,-54.0356,-59.5301,-61.9561,-62.6393,-69.1379,-65.7829,-68.3879,-55.0418,-69.7392,-64.6431,-54.9278,-70.0,-70.0,0
48,-50.458,-66.6146,-64.274,-66.3591,-66.4717,-65.9457,-62.7704,-53.2166,-59.1811,-63.5361,-50.6928,-52.6995,-70.0,-53.6197,-68.2757,-63.6471,-67.2374,-57.548,-62.9289,-60.0077,-70.0,-44.1623,-53.969,-55.8523,-70.0,-52.4948,-46.4336,-67.3272,-52.8835,-70.0,-61.9885,-70.0,-56.6958,-56.352,-66.1956,-68.334,-59.2593,-53.745,-55.1588,-64.1514,-67.9433,-70.0,-68.7562,-68.6107,-53.9218,-70.0,-67.3421,-59.4303,-70.0,-66.0234,0
49,-49.3061,-68.0468,-69.1452,-61.8135,-67.1816,-70.0,-61.0191,-56.4406,-60.7347,-68.7168,-55.3734,-52.0201,-67.3917,-55.4492,-66.0372,-66.4937,-70.0,-57.3945,-60.091,-62.656,-70.0,-43.8017,-51.8457,-51.9687,-70.0,-56.07,-48.5152,-66.0632,-55.155,-70.0,-64.589,-70.0,-59.7325,-54.2619,-70.0,-70.0,-63.8131,-55.9517,-57.4089,-69.3146,-68.25,-65.458,-68.292,-70.0,-52.5209,-69.2766,-66.8758,-58.9395,-67.2716,-61.3925,0
50,-52.7131,-68.192,-65.5356,-61.1525,-68.0239,-70.0,-60.3459,-57.1407,-60.4225,-66.0821,-51.1118,-52.582,-69.7758,-54.7983,-68.0688,-67.1956,-70.0,-59.7802,-62.0316,-58.8352,-70.0,-44.599,-56.9794,-57.2986,-69.1823,-56.6103,-47.5632,-65.9932,-51.724,-65.9535,-60.1967,-70.0,-64.6469,-53.9205,-65.409,-70.0,-60.0095,-53.8739,-61.715,-69.3049,-70.0,-61.7557,-70.0,-65.5293,-54.1719,-66.7668,-62.133,-58.4002,-66.8495,-63.2015,0
51,-58.4205,-69.0582,-62.7315,-60.0687,-67.6883,-68.8805,-58.0101,-54.439,-63.4693,-66.8211,-49.9627,-58.3819,-66.3617,-54.8614,-67.3456,-62.6114,-70.0,-59.0434,-65.8547,-58.5614,-70.0,-44.5966,-58.2718,-56.1385,-70.0,-61.7447,-43.7551,-63.6278,-49.4415,-65.4341,-62.0703,-70.0,-60.4103,-57.7864,-69.2501,-65.7303,-62.6645,-50.2347,-65.7094,-66.7393,-66.9349,-66.693,-66.466,-61.4816,-59.6646,-67.5617,-58.4318,-63.5982,-62.2407,-66.7512,0
52,-58.5088,-70.0,-67.0161,-60.5501,-65.623,-67.9508,-59.042,-58.6669,-62.7461,-68.8828,-51.4165,-60.4946,-66.0896,-51.9828,-69.8593,-62.4398,-69.2306,-63.7422,-65.3388,-56.2469,-70.0,-48.0773,-54.0038,-58.9201,-70.0,-58.7343,-48.167,-68.3154,-53.8187,-67.312,-58.4797,-70.0,-64.4414,-58.9687,-65.1629,-63.357,-67.4148,-49.0433,-67.5712,-66.5264,-68.651,-67.4617,-66.3462,-57.7312,-55.6364,-62.8701,-57.0391,-60.0621,-59.8468,-67.0256,0
53,-61.2299,-66.9691,-69.5483,-64.0947,-62.4839,-64.2668,-61.7063,-55.9876,-61.6736,-66.9127,-53.1118,-59.0991,-67.844,-47.9933,-70.0,-62.1363,-67.7782,-64.9137,-63.8131,-53.5492,-70.0,-47.2716,-49.9209,-63.4666,-70.0,-62.5072,-48.0128,-70.0,-51.5817,-68.9254,-60.5022,-70.0,-64.7903,-55.8793,-65.1636,-59.5447,-70.0,-53.3654,-64.0277,-67.8303,-69.9899,-70.0,-67.9441,-54.6497,-56.7856,-60.8385,-60.1228,-56.0225,-62.8368,-69.7246,0
54,-59.6114,-68.1775,-66.5548,-64.9863,-62.0239,-67.2395,-66.1644,-57.1926,-64.9203,-67.5164,-53.075,-62.4304,-66.5431,-50.0353,-68.1616,-58.9718,-69.24,-60.3542,-68.5991,-57.0945,-66.8178,-46.4358,-50.4134,-62.0468,-69.9598,-59.054,-53.2047,-65.4783,-52.5525,-64.7058,-58.427,-65.8268,-62.6475,-59.5416,-62.6179,-64.9863,-70.0,-57.3275,-62.4927,-70.0,-70.0,-70.0,-68.5719,-52.7168,-56.0309,-62.6844,-62.849,-56.5202,-61.5089,-70.0,0
55,-58.4323,-68.5989,-62.3475,-65.9797,-57.7282,-62.412,-62.9496,-61.1078,-65.6992,-70.0,-56.0468,-64.1599,-69.3572,-54.261,-64.2986,-59.1457,-70.0,-56.7363,-69.5906,-59.3925,-65.1077,-46.1771,-48.9648,-64.3695,-67.1165,-56.7619,-50.447,-68.2957,-50.6634,-60.2828,-55.602,-63.9519,-65.9592,-57.0653,-67.0422,-64.0546,-65.004,-60.8504,-64.3012,-67.2262,-70.0,-70.0,-66.169,-57.6708,-60.4804,-58.3764,-62.4229,-57.0002,-63.8675,-70.0,0
56,-60.6783,-67.7196,-59.3299,-67.5902,-57.6445,-58.7285,-58.6479,-64.8778,-70.0,-70.0,-60.8371,-66.1661,-70.0,-58.4978,-61.1691,-56.5891,-70.0,-56.6078,-67.5126,-61.6087,-61.1203,-49.6655,-53.421,-64.8511,-66.814,-52.8027,-49.6429,-66.8829,-50.7542,-65.7282,-56.3215,-64.3201,-63.2139,-55.7779,-70.0,-59.7884,-68.7854,-56.4543,-64.1672,-65.4151,-67.4677,-70.0,-70.0,-58.6351,-63.011,-54.4461,-58.8826,-55.8398,-68.4819,-70.0,0
57,-57.5992,-67.478,-55.5143,-69.4538,-61.3319,-60.8781,-57.3693,-64.4837,-70.0,-67.2108,-57.9457,-64.7692,-68.0051,-62.7781,-65.1216,-55.8646,-70.0,-59.7011,-68.5878,-59.9427,-63.7303,-54.0634,-54.8518,-62.4763,-62.4403,-57.6431,-47.3697,-70.0,-50.6018,-70.0,-59.2733,-65.8183,-58.8371,-55.3933,-65.7566,-59.8373,-68.8925,-59.9054,-63.1764,-61.9126,-68.9035,-70.0,-65.0694,-63.2458,-64.9447,-58.481,-58.344,-53.5691,-64.6004,-68.6842,0
58,-59.2049,-68.1082,-53.2383,-69.98,-61.2894,-57.0245,-59.9497,-65.9257,-67.9789,-65.0718,-57.7566,-68.451,-70.0,-60.8565,-67.7056,-55.4733,-66.9087,-62.643,-69.3679,-62.4483,-61.3667,-55.6475,-58.7352,-62.15,-64.9604,-58.7048,-46.3887,-69.9547,-50.5873,-69.5669,-64.4095,-63.385,-54.4769,-58.3974,-69.7,-57.2681,-67.8923,-55.7006,-64.369,-66.0074,-69.3379,-70.0,-63.6676,-59.7775,-61.8647,-55.0357,-59.5531,-51.4343,-63.8529,-70.0,0
