Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
12,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,121.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,121.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-8.146747645213537,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-12.291751834064055,-4.4437980271478015,10.0,10.0,10.0,-8.30029614433165,10.0,10.0,10.0
13,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,131.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,131.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.36478723221834,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-11.792314042886812,-1.5939717089246717,10.0,10.0,10.0,-3.5463872975622355,10.0,10.0,10.0
14,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,141.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,141.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-11.876839949839848,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.033519467133171,-1.4177297371404052,10.0,10.0,10.0,10.0,10.0,10.0,10.0
15,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,151.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,151.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-7.625213382170015,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-6.130433223513389,-2.956194429589482,10.0,10.0,10.0,10.0,10.0,10.0,10.0
16,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,161.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,161.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-9.04716881137671,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-9.267398613780585,-6.413272951009215,10.0,10.0,10.0,10.0,10.0,10.0,10.0
17,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,171.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,171.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-3.6439041874696283,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-8.52867018049545,-3.846951497245466,10.0,10.0,10.0,10.0,10.0,10.0,10.0
18,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,181.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,181.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-0.2478861984591001,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-5.105774846338723,-0.9664002238664207,10.0,10.0,10.0,10.0,10.0,10.0,10.0
19,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,191.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,191.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-0.03797729393231464,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2805271135138385,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
21,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,211.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,211.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
22,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,221.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,221.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
23,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,231.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,231.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
24,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,241.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,241.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
25,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,251.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,251.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
26,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,261.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,261.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
