Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19
54,-54.4013,-63.3692,-55.5834,-63.7371,-64.4663,-70.0000,-70.0000,-60.9440,-69.6836,-63.4584,-65.3820,-68.1373,-63.9600,-47.2359,-61.2107,-66.6711,-53.0995,-58.8847,-70.0000,-66.9127
55,-52.9833,-61.6558,-56.3834,-60.2816,-64.6656,-66.4649,-70.0000,-64.7175,-68.7399,-64.5478,-61.0604,-66.9475,-65.2510,-51.3281,-63.4618,-65.2205,-56.4744,-57.0703,-65.8276,-70.0000
56,-55.3090,-58.1209,-59.7694,-60.8076,-69.3769,-68.7220,-70.0000,-63.0234,-66.9456,-63.7419,-63.3711,-64.0759,-65.2961,-53.0855,-67.6447,-64.9508,-55.6407,-57.3629,-66.4219,-67.1303
57,-56.2060,-54.1363,-62.4074,-58.1759,-70.0000,-65.3100,-70.0000,-59.7731,-70.0000,-60.2835,-61.7903,-68.7399,-67.7435,-49.0812,-63.4152,-69.8311,-57.2016,-59.2635,-66.3601,-62.9208
58,-58.8398,-53.0627,-66.2599,-62.9703,-70.0000,-62.3131,-70.0000,-60.2943,-70.0000,-59.5265,-65.5592,-70.0000,-66.5923,-54.2715,-67.2594,-70.0000,-58.2860,-63.2329,-70.0000,-67.8701
59,-63.5824,-50.3852,-68.6091,-59.8995,-65.3324,-61.2259,-68.5845,-65.5035,-70.0000,-55.6574,-63.2477,-68.4407,-63.9410,-53.2726,-68.1222,-70.0000,-58.9087,-65.6431,-70.0000,-66.0712
60,-68.8676,-51.8537,-70.0000,-55.6999,-67.0510,-61.6472,-69.8185,-61.6061,-70.0000,-53.9170,-66.0860,-68.3655,-66.8249,-54.6745,-70.0000,-70.0000,-63.7376,-69.4671,-65.3281,-65.5314
61,-67.7194,-56.4177,-65.7592,-52.1846,-68.3675,-59.7963,-66.9813,-64.4024,-68.4931,-55.1445,-63.6823,-70.0000,-67.0852,-59.6193,-65.1125,-65.4583,-66.0160,-70.0000,-64.2252,-68.5528
62,-63.7231,-58.0992,-69.3036,-50.7056,-70.0000,-56.0594,-70.0000,-61.2522,-64.5321,-55.2859,-67.1490,-70.0000,-68.6583,-58.7163,-60.4431,-68.9730,-63.9841,-68.9720,-67.7521,-69.1110
63,-64.4960,-63.2928,-70.0000,-56.2171,-70.0000,-54.3127,-67.2373,-60.4906,-64.7045,-52.4956,-65.7005,-67.6979,-70.0000,-57.2824,-56.6440,-70.0000,-67.6391,-64.4031,-66.4346,-70.0000
64,-64.0863,-62.7328,-67.7603,-56.1717,-70.0000,-59.3631,-65.8635,-60.5287,-61.1616,-49.4127,-62.4124,-63.8530,-65.1063,-56.2417,-55.4807,-68.1095,-70.0000,-67.3371,-67.3310,-68.2723
65,-67.8352,-59.6732,-70.0000,-61.2295,-68.5798,-60.3342,-70.0000,-57.2180,-58.8064,-53.9169,-59.7853,-67.8855,-65.4255,-57.2265,-52.5785,-65.1519,-70.0000,-70.0000,-70.0000,-70.0000
