Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Cluster
17,1701.0,1701.0,10.0,0.9584916888790468,10.0,10.0,10.0,1701.0,1701.0,-15.090753729523865,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1701.0,10.0,1701.0,10.0,10.0,-3.1781053443957994,10.0,-4.203200091563268,10.0,10.0,1701.0,1701.0,10.0,10.0,10.0,10.0,10.0,1701.0,10.0,10.0,1701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
18,1801.0,1801.0,10.0,10.0,10.0,10.0,10.0,1801.0,1801.0,-12.829728857981532,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1801.0,10.0,1801.0,10.0,10.0,-3.2946623893643583,10.0,-5.281714751083944,10.0,10.0,1801.0,1801.0,10.0,10.0,10.0,10.0,10.0,1801.0,10.0,10.0,1801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
19,1901.0,1901.0,10.0,10.0,10.0,10.0,10.0,1901.0,1901.0,-12.731710524697789,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1901.0,10.0,1901.0,10.0,10.0,-2.150417972168107,10.0,-1.3682917051334318,10.0,10.0,1901.0,1901.0,10.0,10.0,10.0,10.0,10.0,1901.0,10.0,10.0,1901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
20,2001.0,2001.0,10.0,10.0,10.0,10.0,10.0,2001.0,2001.0,-6.959484285142709,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2001.0,10.0,2001.0,10.0,10.0,-6.233069777586082,10.0,-4.361256577516604,10.0,10.0,2001.0,2001.0,10.0,10.0,10.0,10.0,10.0,2001.0,10.0,10.0,2001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
21,2101.0,2101.0,10.0,10.0,10.0,10.0,10.0,2101.0,2101.0,-2.4340683606422147,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2101.0,10.0,2101.0,10.0,10.0,-3.8834215910299807,10.0,-4.246088384537316,10.0,10.0,2101.0,2101.0,10.0,10.0,10.0,10.0,10.0,2101.0,10.0,10.0,2101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
22,2201.0,2201.0,10.0,10.0,10.0,10.0,10.0,2201.0,2201.0,-5.3671579016238855,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2201.0,10.0,2201.0,10.0,10.0,-2.9731842723103847,10.0,-6.981797264265692,10.0,10.0,2201.0,2201.0,10.0,10.0,10.0,10.0,10.0,2201.0,10.0,10.0,2201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
23,2301.0,2301.0,10.0,10.0,10.0,10.0,10.0,2301.0,2301.0,-8.464135732181102,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2301.0,10.0,2301.0,10.0,10.0,-3.024218876846075,10.0,-6.707019414107494,10.0,10.0,2301.0,2301.0,10.0,10.0,10.0,10.0,10.0,2301.0,10.0,10.0,2301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
24,2401.0,2401.0,10.0,10.0,10.0,10.0,10.0,2401.0,2401.0,-12.522679374065897,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2401.0,10.0,2401.0,10.0,10.0,10.0,10.0,-5.0714869668098395,10.0,10.0,2401.0,2401.0,10.0,10.0,10.0,10.0,10.0,2401.0,10.0,10.0,2401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
25,2501.0,2501.0,10.0,10.0,10.0,10.0,10.0,2501.0,2501.0,-15.678250549591436,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2501.0,10.0,2501.0,10.0,10.0,10.0,10.0,-5.51208767803716,10.0,10.0,2501.0,2501.0,10.0,10.0,10.0,10.0,10.0,2501.0,10.0,10.0,2501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
26,2601.0,2601.0,10.0,10.0,10.0,10.0,10.0,2601.0,2601.0,-15.398966959246746,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2601.0,10.0,2601.0,10.0,10.0,10.0,10.0,-9.456854175290609,10.0,10.0,2601.0,2601.0,10.0,10.0,10.0,10.0,10.0,2601.0,10.0,10.0,2601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
27,2701.0,2701.0,10.0,10.0,10.0,10.0,10.0,2701.0,2701.0,-15.018995352032135,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2701.0,10.0,2701.0,10.0,10.0,10.0,10.0,-7.786473069082827,10.0,10.0,2701.0,2701.0,10.0,10.0,10.0,10.0,10.0,2701.0,10.0,10.0,2701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
28,2801.0,2801.0,10.0,10.0,10.0,10.0,10.0,2801.0,2801.0,-9.318490704604848,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2801.0,10.0,2801.0,10.0,10.0,10.0,10.0,-10.84757238825286,10.0,10.0,2801.0,2801.0,10.0,10.0,10.0,10.0,10.0,2801.0,10.0,10.0,2801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
29,2901.0,2901.0,10.0,10.0,10.0,10.0,10.0,2901.0,2901.0,-11.993604396651495,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2901.0,10.0,2901.0,10.0,10.0,10.0,10.0,-14.59712034791255,10.0,10.0,2901.0,2901.0,10.0,10.0,10.0,10.0,10.0,2901.0,10.0,10.0,2901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
30,3001.0,3001.0,10.0,10.0,10.0,10.0,10.0,3001.0,3001.0,-7.487267142324256,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3001.0,10.0,3001.0,10.0,10.0,10.0,10.0,-15.251918844131067,10.0,10.0,3001.0,3001.0,10.0,10.0,10.0,10.0,10.0,3001.0,10.0,10.0,3001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
31,3101.0,3101.0,10.0,10.0,10.0,10.0,10.0,3101.0,3101.0,-5.392516482258849,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3101.0,10.0,3101.0,10.0,10.0,10.0,10.0,-12.61350645996794,10.0,10.0,3101.0,3101.0,10.0,10.0,10.0,10.0,10.0,3101.0,10.0,10.0,3101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
