Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,48.843994274833456,37.833113625408515,58.486019016742716,55.81703451836303,52.33307122221898,47.938918354854344,44.93878387025167,44.89899936835615,44.02757838477227,36.447591358118395,35.41891645851826,52.72487681592463,72.1576077067745,58.60201530891511,47.09905562475489,63.54062461600278,34.55791477784217,58.14007518113531,56.281125444346664,49.745600138735455,59.396777138182784,47.96372680808748,41.45135734389598,63.15657091290058,49.50417235757314,48.97977136736446,80.66124674281997,56.66894345023026,56.93571291395907,41.897311393901,43.10743189233338,42.6704257040313,40.256120878896205,56.44494900580397,45.48906085872994,62.19052797209995,36.41107309226437,46.830666516023946,49.18878933041672,42.45532006579849,47.92966279142356,60.67031262996953,37.839426125855944,40.95296028450535,50.7799326450328,67.90426041911161,49.87412777504552,51.89897910039371,77.90680427275885,57.00433680036713,41.83985260210464,42.84702308293321,60.17941874674062,39.18796693943651,64.53625785953538,79.55458459062672,59.54419286436757,30.98257085484292,45.11765865702718,51.47722094787661,33.88699458594624,54.00425459388404,51.64925516779761,29.022046536891676,57.69855062233627,57.34878036950207,43.830089030991324,57.2129159369658,44.12963988671626,48.168032806796354,40.16348472236773,45.83613046627106,46.946692108260656,48.115340065889015,48.854212804887666,41.27021402692537,71.77239988086728,49.64543867744558,61.05939908102332,38.13226003969925,43.06801346959869,41.72773267038592,44.89630056152818,43.487080378045604,57.44578545183738,54.49717675388869,43.21895387132787,47.21684970023047,47.4232252299692,82.52434575430527,38.711796832715635,61.897802081197064,38.72947504594407,39.2110299083386,51.26984075369207,42.51696659139157,53.93286706520484,40.94739043692638,72.41355242067473,56.97127139537044
1,47.0723187403984,33.89182427908492,56.29180499838216,48.05963334411459,49.50266154428853,48.37663371585781,38.54929877024304,44.82070963102042,44.79561683780479,33.70223152951421,29.41095854349264,46.48586682709877,63.74755614886695,58.056896455847664,47.081502359414884,62.175787450757454,29.061084863122744,68.1400751811353,55.10409845993707,50.78631613332496,53.823245814262755,42.894663828137865,41.90385761360419,58.076158016022106,49.28408899050676,41.709166571141296,75.73805800137724,53.05699484656179,57.68265234678421,37.536694236090426,38.772589081824925,45.34135245523707,38.10673122697683,57.570516416561254,45.22018472206096,72.19052797209994,32.588447944872264,44.17109036363053,45.894115429878624,44.837211745171864,41.577828403805135,58.998502697212054,33.78050796904372,35.73984525825121,44.523780969611444,63.92148996872509,44.43554293648113,53.77327301179961,76.77977482158275,50.88707605436422,37.934452350035556,40.23549874397354,56.15348589872259,41.281956750023625,64.1801367453663,79.82007677537646,59.60795120421979,30.87188194021362,40.112982337942164,51.58186510454746,30.90979333622392,48.706512926210344,53.79466280972457,25.45802971083942,54.42401085681786,56.94502229450492,38.85829969127042,57.545771413683376,43.87467254930761,43.35789644017612,34.48995595870218,41.947949973542585,39.88150996849001,48.411794413602045,44.08064983036672,34.59391293644515,69.89253200783962,47.82813882589222,55.99819821206955,39.29502415478822,36.47687841904938,42.75624146152519,44.79609101988834,43.75260319417668,53.91641071958112,50.76979186743137,45.4328472108593,40.9266889550547,46.179429818774,73.7053504862324,41.29055182642779,55.34234802968247,36.670208889094425,39.959837104581425,44.06722010073415,36.47553022054005,52.54364335408132,39.820308474929405,66.36702954932984,52.26497280105384
2,43.01206710691389,32.278667140002405,48.72572461259865,49.21702365379652,43.10598318313052,47.29018856667791,35.82132042456678,46.40287990513938,39.593936538749546,34.02915543348704,32.60384734857846,47.96307988803898,62.760790084476405,52.8529252704906,43.049089024985456,55.485433526028174,27.95714962261963,78.1400751811353,51.16425473288184,45.13087297688186,55.188678822087304,44.333934460231994,37.99205695938244,56.96973192005404,43.400569472879226,44.15389150190267,76.9305221996115,50.13223085709737,56.830618021535074,37.36416811211967,35.60830959995067,38.59325700358757,40.569122130493476,54.651653524719734,43.41076397061667,82.19052797209994,30.539656836101713,43.55974164395715,42.30163359472939,41.919890871311196,42.490285038332104,52.21123590491416,35.158213313806684,35.564822973802585,42.0259664338207,60.99276823389952,37.538536988120285,53.46445194470696,69.4300562649447,44.34482977600777,39.50498929327854,34.239553382848406,56.772308534417284,43.24449701166557,63.59376408170023,80.05325869782504,61.52447362176105,33.985513638270334,42.28010167683934,52.84513937185124,30.509901250435075,43.78595948257659,48.88861640108903,23.624583173467585,48.84505949479545,58.11470819933713,34.19319402523174,51.78385154452296,39.593059425931266,45.79371634793655,34.48672972217706,37.027928160910676,39.71680298286539,49.955245316338626,42.44945882258043,35.51850862529885,67.46075959616086,42.319091914898536,52.75160523651889,38.46219045920966,31.89622836657645,40.492489457603725,42.736008013033434,40.43956503846739,55.277162999339986,44.20936312339705,41.268786456596125,37.42412465837091,44.1498909543549,71.48481807359637,39.258371826509595,47.80748068426255,38.64393271928813,34.97468450549749,37.234891759160725,37.34662596774801,46.29539945429334,36.55126318886884,63.60194831087507,52.29495197228529
3,40.582889567627454,26.933410369380972,45.66002398349735,48.480114025106744,42.27350787629442,45.110541570377094,29.906919349412732,41.171876625286224,40.0944845486471,28.56673598201552,30.930910699973605,42.17283410608236,60.242582534316966,48.562725533330216,41.997643327157675,49.07262028220019,24.944331544159688,88.1400751811353,44.64859257982609,47.37961503366168,47.75360076887995,37.793773751058026,38.10834210857265,55.375566417154026,41.675412337899914,37.18059213770906,77.71912705012684,51.24824782832125,49.821798693366894,34.944707470333356,32.27947890121561,34.13537362950811,37.87001380866479,48.844665196774066,45.43029050689373,92.19052797209994,30.90371028578138,41.11647062774962,43.18105818311446,42.97607324560674,40.11316465588304,53.38134547385972,32.72867340737669,32.570290672208834,37.549254247535046,52.99806819829469,35.17049829472023,52.15071429159028,66.84027375457505,37.66631722515236,33.19975616636504,29.738213372210037,53.93918425085816,44.34061269774497,64.02994861859,74.15640459261878,58.29715848511667,30.60802597600449,39.54330458999692,50.129097250361504,33.29027109184557,41.846983117589204,41.7763490865154,19.56384261308017,48.6390496992528,58.170079771457004,32.99169186430881,47.57397832196327,37.18462122164951,38.91116222165207,35.31742591486683,36.84989875277885,36.04149095739939,48.44638875555709,42.80961825277953,32.56061642867258,67.64415136947039,37.09654617128939,52.40482660370315,33.65754534027324,29.59817432035405,43.05020280710295,42.951365549348466,39.85437388899134,52.69384583612964,41.02195610463852,34.51382573788332,33.80952073561211,46.92132718954832,69.8314336063585,33.96516491119221,43.82610879718598,41.57653617800989,32.147906332404055,38.01757586546779,31.008571387838824,48.67711047925264,38.179573039253356,63.45009024222939,46.55328668396156
4,43.009415161611386,28.709902968110818,45.126297460035644,49.464893959265844,42.973554021051484,41.90977789708325,32.66349706974191,41.45316513456388,40.69699629146617,25.84942670896714,28.418455658880294,37.236859997852214,53.482984360647,50.53489074565704,44.49861285372013,42.72693397630843,23.615097637902522,98.1400751811353,43.25826191921027,49.71085666123275,47.79592950633439,31.313962736814354,38.743816034961974,52.50180044078515,39.16741994411736,30.430040620452136,72.652603413272,46.130448562110345,48.370730182711135,34.78341813662991,30.134946158974643,34.29787916550752,38.8502187313338,51.275941538165256,40.0986561855312,102.19052797209994,32.59073176870237,41.977043795423214,37.817900309052064,44.05304639861425,42.69340933005388,47.19010835380494,30.810043103127455,26.03548456227517,33.31282185319469,50.773134910594884,28.418787297912008,52.54980518365457,63.022535545829115,32.28847308118582,27.83808809194581,25.47647724292368,48.89167030526603,44.20971176665301,63.25319019616914,70.50729105432357,54.713873850394165,25.041709011702913,41.114732103825375,51.023620986308885,26.761823656101186,42.898829794350455,43.16996614635894,18.820560615180263,45.21610319043801,50.83569259095251,28.155995917912648,45.384557829508466,38.877206687818045,41.93173191879249,34.436981924119586,34.19636534678079,30.09283456155554,49.28874038327494,40.64305335849318,26.316419459085974,63.8411714730172,34.15601115373087,51.73511604891877,34.19042031125246,23.78962938968796,37.73939990037216,37.81669884125265,42.17877953495331,49.30480854792778,42.04384291443918,33.58075722286395,36.07654481816314,47.03090911269107,63.46187455263345,29.63825038768014,45.15997410164164,39.23921609763122,35.54196097972943,37.228953223043234,34.02199989440801,50.747525741665626,39.57738526903056,63.07604406748882,41.924288811740055
5,42.11417948465233,27.090865751326426,45.15637535048967,42.55796568782516,43.47571574327999,43.05818040982672,29.87066688981404,43.325516875409186,38.68064362890539,26.924660286183887,28.6642857847386,34.338854231042255,51.90776815393599,52.37480231357688,43.15329531199057,43.83650032135787,20.505272519896582,108.1400751811353,45.737320002212925,46.59556664158696,45.31838448794536,27.14430375496155,40.293730576966134,51.78504045741331,34.333208680626505,29.69351807770064,69.96549255527664,48.825939615496374,42.37644856841273,35.163432208446835,24.274149280015532,32.70447886750547,41.38046979610527,51.631546982358266,41.36389437661697,112.19052797209994,32.09326424543541,37.02953807644655,31.565802054147078,40.75118502306041,37.090302736184775,47.134767595168,28.863019819751322,27.916241008093397,27.031652773604236,49.5692922167561,28.774392909398774,52.59487477681531,59.530539519910384,32.86506957540644,26.841550732620917,23.570378954783827,41.52597444114615,37.874573164946895,63.33620501758698,66.03200073569478,51.458862050658404,22.29473955514394,41.096725312043404,47.702102073567076,27.694479235755523,44.53988022562147,39.65280703353562,21.519786237185052,40.78545846866134,51.434294061005104,29.701380531507972,45.91854678425862,36.45673731798956,35.29303683257152,35.22966211766392,33.72045259177577,26.580895133335243,46.9951483184654,38.87321153693437,28.036878122343435,62.52664973366069,27.773227444775017,47.489080124425236,35.75248910191673,17.81390990445773,35.846218302773686,35.14217694048202,35.2889092036851,48.582492734324084,35.6179113062708,32.23543639682852,35.08619025470268,48.05247424674675,57.22183644042909,30.283417957119504,37.99272739426163,35.81031467450083,34.34116116829534,38.03909987991338,34.866373596249495,44.722078819524114,32.64509938997097,59.37384075184915,38.9171616894776
6,42.92081921809347,22.857713271278964,39.86570595918547,40.66967923599797,44.803302199333174,40.765282959945566,25.844162715914905,39.50365804531174,38.181039970029055,29.995037750223446,32.16733255403487,28.60335113104871,44.5962577711735,50.61308019603115,44.78616737940122,44.582245512348734,17.83414191074938,118.1400751811353,42.40663245081701,45.697822948404614,44.635984020703624,29.191203591195382,38.57655590234026,44.497410753295725,28.3103305579272,30.93958868531802,66.5844660619303,49.755494342880716,39.55780450785312,29.210398224350563,19.93080336717215,35.00037043958946,42.32472112951706,53.37848487582334,43.47468532540914,122.19052797209994,34.55661452300542,34.18725550156081,30.75999310725239,35.85849224470137,30.79005144699377,48.134485878822815,29.555704287020873,30.852787279901555,25.080850496744354,44.50048842874497,29.450818439124593,50.693734951121506,55.297633209543065,33.005480210501126,27.467290332232654,26.176128666930467,36.629516164353085,36.26544790177716,58.41660173352783,64.42418469057425,50.82089824276158,16.95424441401556,40.11842069245331,44.716297035019345,27.001872705567976,46.73716423950655,36.38219241168247,23.73978941491424,43.123716495144926,53.0129364118528,30.512502370936062,47.10931125068588,37.38516449669727,33.27187511331602,28.616700460464962,35.43948677478893,24.308523915638585,46.9485486342203,41.50465826764145,23.588516691808383,59.32470716869445,28.22476986586161,42.0428077073334,37.49650834369029,18.208898574268428,30.220701824475793,33.317383569976236,36.165433775204036,48.242591916770635,33.511704821075504,29.281782137273616,34.288559698983235,48.70124047874815,50.758078930563066,29.282347675534936,35.9461012211915,31.841356976751694,30.3264557122326,38.47935444723364,28.73327240749567,41.74984417648455,29.596217913169586,56.1985091645153,37.30950584480652
7,38.56926819894585,17.008764938173456,33.6054215731097,42.37261612944311,38.84785729865728,40.3201736405397,25.362296739186743,39.58824130651034,39.7003150131804,30.521068223935302,33.817927861760026,28.694784098376488,44.39777538262967,44.48852030217275,46.25600806878849,46.811610547608794,13.847698857370197,128.1400751811353,44.17731558554007,47.21409260087622,40.60507555812026,28.01637184975544,32.72134736084297,44.53552126768888,31.84256665504582,30.268719466266568,65.99671911442216,52.16081541111566,33.99944245240283,32.504403487531164,14.094075992797455,29.200313655981766,40.57565657833016,47.18177784857319,41.16325309192965,132.19052797209994,36.5305423355896,29.643931757226227,32.69231281406199,32.24658949580285,28.388819947367843,41.796123240604885,25.69091469944863,24.464818020591206,19.63976798506743,40.817862093023976,28.283351743708124,47.701751813613235,49.599291555486026,27.529801426615695,23.588613998800533,23.803734771729467,29.867205547235123,39.294145491616966,54.988130287230845,58.38843289537527,50.61893947091063,16.205296513459604,41.893231252625554,37.71956481163751,24.623525842304538,40.06379753344012,37.386202378907036,19.78192166067132,37.91937709807032,52.79675809843706,24.10221454365201,48.821145658619464,33.852101601210926,31.117650778829642,28.65596776542528,29.72772083694913,19.26631208088726,39.66620848913958,43.20001980660343,25.072441812581648,51.78453224587268,25.595194598225586,36.06122794924997,40.25011791043805,13.687519508588693,31.383982786456386,27.322582565830988,35.170033834736536,43.10192259533648,27.959910361743745,30.187216387488654,36.369935640581346,48.475050173417394,47.76709197720111,27.818123033030027,30.814733969031515,31.644143947119055,32.48347735730276,40.203876322946044,27.85732675039794,40.250621299524795,28.129463955548516,49.553530979508004,37.895338929694695
8,32.745890852720166,20.259045999260767,30.213610306386386,35.60598015597982,35.46206684078216,35.826153318055695,27.808141397006438,41.489610331336976,33.35242448995324,29.10863875379615,30.37241966237022,28.23531265204645,41.865709272458865,45.489836851822226,47.20770042650264,47.72843241153283,10.653408051753061,138.1400751811353,40.89010117039254,47.48723843741899,34.4951922235853,22.460998180784898,34.742332298780255,40.598570108202274,34.04079518660808,26.652029399894953,62.305876053450625,47.90105533072789,33.829881503749675,30.1882449352472,11.959771108557552,31.268031770029808,36.02574491192795,43.638715119673634,35.427724095428005,142.19052797209994,31.69188624630018,28.800086490110175,34.53018272622895,30.26165172013659,31.583045114947495,37.76413237339138,23.64001586587279,25.49864649279937,19.785858087500042,39.31089180169779,24.789557487539117,47.84588842406489,42.99112200236556,23.997955492983806,20.425017161104368,21.86633227799657,30.721558619346375,40.449466770782564,51.57475668531728,58.954786849718275,43.286166791667455,15.741275976863667,44.54173106803059,39.70575027220869,28.363899923699933,34.39504694939576,39.813730442940354,14.414815951684913,31.39725967441833,53.86293546683026,19.84323210985591,50.33930647035917,33.64225375995551,27.72577253990395,28.910606288690513,25.448071677389386,22.769314066279776,35.71326671463068,37.239021944600246,27.144646103659007,53.61867863475243,22.16634344610719,38.157730067976686,39.125720268505134,8.681666902914593,32.715658439916616,29.898333814079805,30.077154227234516,41.82642921519655,22.48697786333372,32.04462509007038,39.374790780232374,41.194026073479904,44.23027792774198,21.507564958762813,29.9050150122551,27.525341306089402,32.16462112220978,36.63333185662643,24.415347803148784,35.44865583161258,22.950482513154586,45.05922993562113,39.565991379502385
9,29.395348688335716,18.58426553706223,29.660669588875287,34.833822981817946,30.350915456037754,32.91201333262737,28.875171531329038,39.31590037980462,30.232083468811673,27.37619436957746,27.962085478710822,27.409515977265375,40.84806008716105,40.355334727417976,48.21422111566857,49.83984199707011,13.498089235002881,148.1400751811353,42.84839292605453,42.490948454922254,30.682115488036597,16.67259512632446,28.842899632891626,41.64331193144979,30.107906936089115,23.58605843597328,57.50678032989854,42.829930201735266,30.03362270132324,25.695098127833617,9.712051655059884,32.010828139085135,30.658128815511233,41.80350585022138,33.44543280677662,152.19052797209994,31.347925149081817,28.28078081841882,37.70892511688923,29.79153812871394,27.691987268757053,37.788624237246836,27.060495282399913,22.97640926537134,16.15919138438595,34.5647497588718,27.562345496698146,47.72587193545258,41.25892236309841,20.72759786691504,23.712891903402486,17.185793043131312,29.766545264824966,42.997907695338924,52.75277619995778,57.53276281110151,44.522958548247644,17.670256031998036,40.968107910288566,36.478526073322136,25.255367514872916,33.82556542607013,42.59664295561734,10.062593506788124,27.04024926184041,48.16018151217867,21.290965372787767,45.46023628321582,34.64637342500001,23.519822304810504,22.65359827368434,26.062594520593134,26.427116890628668,37.70902318384846,36.95552956466837,22.206634622077924,53.579856960289916,17.664984131726193,40.43456457206654,41.87999396338724,12.943958388146706,33.060086741374235,29.143579185002412,27.947555613615638,36.14663002058021,17.281755580912943,28.154224490178528,33.699405709978834,43.54486598759477,43.41603723238747,17.989683935474556,26.787248170503787,29.301955024439124,29.4830909881743,32.00075939797291,21.612864142456726,31.994178048103226,24.580590536681765,40.34274659277157,42.36546373115222
