Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Neuron_30,Neuron_31,Neuron_32,Neuron_33,Neuron_34,Neuron_35,Neuron_36,Neuron_37,Neuron_38,Neuron_39,Neuron_40,Neuron_41,Neuron_42,Neuron_43,Neuron_44,Neuron_45,Neuron_46,Neuron_47,Neuron_48,Neuron_49
44,-65.8411,-63.3574,-47.5953,-70.0000,-68.2775,-62.8895,-67.3981,-45.0726,-59.6997,-66.2016,-68.1827,-70.0000,-63.5641,-63.6556,-55.8638,-62.4708,-67.4263,-66.2081,-66.1794,-70.0000,-70.0000,-70.0000,-60.7346,-59.6887,-65.6068,-49.8807,-58.2372,-63.8993,-53.0586,-66.0448,-60.0906,-63.0450,-52.6803,-61.0284,-66.5759,-68.0080,-61.1134,-62.2226,-56.2385,-63.1081,-53.8576,-69.6488,-54.4098,-66.3712,-60.1587,-66.0763,-66.6985,-51.3328,-62.0586,-59.2498
45,-61.5678,-59.7041,-45.2651,-68.0641,-70.0000,-63.5251,-63.8400,-48.3375,-58.1019,-62.9059,-68.9446,-67.8897,-62.6389,-61.4815,-57.1928,-64.0544,-70.0000,-65.7303,-67.8741,-70.0000,-70.0000,-69.9092,-63.5987,-56.1602,-69.8513,-47.4881,-55.6298,-65.3896,-55.6186,-63.3743,-63.8895,-65.2998,-54.5562,-64.6215,-70.0000,-69.9305,-62.2546,-59.4077,-53.3925,-61.6186,-59.6225,-67.1970,-52.8586,-64.8714,-65.6036,-64.5445,-70.0000,-49.7530,-58.3733,-57.1885
46,-57.7534,-59.1679,-51.1008,-63.2389,-67.6923,-66.0107,-62.1930,-48.9447,-55.2775,-60.7694,-70.0000,-67.9993,-66.6437,-60.5433,-61.7184,-60.9914,-68.6021,-62.2073,-65.3379,-69.0647,-70.0000,-70.0000,-63.2273,-58.2904,-66.8616,-48.5486,-54.6965,-65.6894,-53.0542,-64.2772,-66.6221,-63.6307,-51.2798,-60.5008,-68.3704,-67.2435,-58.4314,-61.8532,-52.8164,-62.8792,-64.9109,-66.9773,-54.4536,-69.5345,-61.7405,-69.0254,-67.6759,-48.0748,-60.2012,-56.9327
47,-59.2133,-56.6680,-56.1818,-60.1308,-68.6446,-64.3637,-61.4765,-48.3444,-55.7750,-66.1333,-69.2134,-66.4236,-67.2171,-63.5218,-67.1158,-57.6634,-63.7898,-61.2409,-66.2481,-67.7457,-69.8757,-70.0000,-67.7130,-54.2721,-70.0000,-48.7214,-58.7090,-70.0000,-56.0071,-65.6325,-62.3169,-63.8919,-55.4631,-60.1008,-65.6335,-65.8532,-58.8157,-59.9166,-56.3425,-62.1756,-66.3994,-64.7471,-57.1634,-65.4187,-66.0346,-70.0000,-69.6110,-52.7556,-64.8749,-55.5269
48,-55.4043,-60.7146,-57.6166,-63.9212,-64.1423,-67.7577,-60.0864,-44.7730,-52.2904,-70.0000,-69.9762,-65.1231,-66.8053,-59.7229,-66.4278,-53.8947,-59.2268,-64.3984,-65.6879,-69.5079,-70.0000,-66.5766,-70.0000,-58.0755,-69.3465,-47.6517,-61.9127,-65.6183,-58.7331,-64.3214,-58.9884,-66.8404,-54.0464,-56.3598,-66.1250,-67.6232,-60.2623,-62.1372,-52.1790,-65.6282,-61.9524,-63.2370,-57.3630,-61.3248,-63.9833,-67.8370,-70.0000,-56.7207,-63.0926,-53.6161
49,-57.2947,-62.2746,-58.4718,-68.4533,-62.9624,-68.6890,-62.3289,-43.0576,-56.4670,-70.0000,-66.1906,-66.6982,-66.6066,-57.8288,-65.3927,-52.8327,-55.0831,-64.6520,-64.8371,-70.0000,-70.0000,-63.3687,-69.8951,-57.0492,-65.4652,-51.4070,-63.5856,-67.5404,-54.5497,-66.7866,-57.3665,-65.6920,-51.8160,-54.2589,-67.7070,-68.2205,-62.5356,-58.6427,-53.3234,-64.7259,-66.7351,-64.5734,-53.7154,-63.6487,-59.5801,-64.8176,-67.7950,-57.0421,-63.7448,-52.3815
50,-61.9890,-65.8836,-55.4716,-68.4665,-59.4694,-69.8879,-65.4455,-44.5774,-58.5397,-70.0000,-61.5841,-65.2234,-62.1421,-56.7136,-65.4472,-52.7469,-59.5174,-66.8907,-69.7763,-70.0000,-70.0000,-62.0458,-66.3954,-60.3553,-69.9070,-50.2163,-62.4978,-65.8426,-55.6362,-63.0353,-62.8655,-65.7349,-51.9384,-53.0157,-70.0000,-70.0000,-59.5093,-60.4939,-51.8341,-64.6620,-70.0000,-65.5480,-52.7177,-61.5760,-61.7735,-62.3115,-70.0000,-61.8429,-67.6461,-56.5165
51,-61.7451,-66.5799,-56.0068,-67.3822,-60.8901,-67.1853,-66.9732,-49.0813,-58.2243,-70.0000,-59.3032,-62.3085,-63.2895,-59.9284,-61.1138,-50.3107,-56.6436,-69.4944,-69.9549,-67.8304,-70.0000,-65.7189,-66.3387,-62.5222,-68.8828,-52.0017,-62.6805,-70.0000,-57.0410,-67.1204,-58.8890,-64.8828,-49.5251,-52.3113,-69.3273,-65.0686,-63.3389,-58.0657,-48.9125,-67.6287,-67.2607,-63.3422,-53.4348,-60.1463,-66.8302,-58.6646,-70.0000,-64.1710,-65.4099,-56.0320
52,-66.4808,-68.9067,-60.0246,-70.0000,-60.1162,-62.3675,-66.7472,-51.4669,-61.5069,-67.5644,-55.6928,-57.6943,-59.2235,-60.4385,-60.0859,-49.2394,-56.2089,-70.0000,-68.1132,-69.9594,-70.0000,-69.9200,-61.7683,-59.3400,-70.0000,-53.5827,-62.5271,-68.5853,-56.9053,-70.0000,-60.7336,-60.6207,-46.5208,-50.7747,-69.8270,-68.9226,-60.1148,-55.0080,-51.8357,-69.8332,-66.9376,-61.2547,-51.5162,-64.4755,-64.2582,-61.7193,-66.0450,-60.8735,-70.0000,-61.3759
53,-63.0534,-65.5415,-62.0940,-68.8496,-55.7364,-61.4347,-66.2990,-52.1872,-60.5503,-69.9561,-57.4338,-58.9707,-64.5026,-61.5935,-56.9300,-55.0559,-52.8214,-69.6847,-70.0000,-70.0000,-69.2566,-70.0000,-64.2085,-56.8070,-69.3715,-54.9376,-60.8884,-68.9393,-58.9588,-70.0000,-58.0696,-63.3719,-43.0689,-53.4613,-67.0151,-70.0000,-63.8179,-52.6073,-50.6527,-67.3626,-67.6439,-65.3821,-51.1286,-61.7565,-66.8238,-66.7835,-63.5954,-57.3283,-70.0000,-61.5361
54,-64.0399,-62.2403,-65.0372,-66.7275,-52.0834,-63.5600,-69.5630,-51.9707,-60.0643,-70.0000,-62.1930,-58.0025,-68.0463,-60.1669,-59.6907,-52.8425,-52.3374,-68.4499,-66.3758,-65.7111,-65.6802,-68.3687,-60.5864,-60.8851,-70.0000,-54.4859,-60.6188,-70.0000,-60.4002,-70.0000,-54.6030,-60.3287,-39.8385,-59.2514,-67.1206,-70.0000,-60.3231,-53.2033,-54.6097,-68.5587,-64.4230,-62.8626,-47.4268,-60.2987,-70.0000,-70.0000,-66.4982,-61.1337,-69.8402,-58.0120
55,-59.7779,-58.0357,-66.5796,-69.0700,-52.4601,-62.5794,-64.6919,-49.3365,-57.5725,-69.8382,-57.8400,-60.5561,-70.0000,-59.7517,-59.5639,-56.4633,-50.8250,-63.5467,-62.5355,-63.6709,-69.4913,-66.0476,-59.3792,-65.5384,-65.4241,-56.2642,-63.6968,-70.0000,-63.0471,-70.0000,-52.6114,-62.5891,-42.7703,-58.3902,-70.0000,-67.1557,-61.8914,-53.1853,-52.1757,-67.8280,-65.2319,-65.7363,-47.6467,-62.4523,-70.0000,-70.0000,-67.4729,-59.9115,-69.2034,-61.2869
56,-62.4142,-62.0870,-62.1192,-68.4351,-57.6799,-58.8417,-64.3736,-50.4743,-59.3165,-66.7832,-54.4986,-62.3612,-70.0000,-55.7657,-55.1760,-61.0789,-48.3537,-66.5328,-62.0996,-68.6063,-70.0000,-66.7511,-56.6095,-64.8385,-64.8893,-54.0124,-61.2367,-70.0000,-64.6277,-70.0000,-57.0578,-60.6841,-48.6216,-58.3578,-69.8459,-70.0000,-57.9795,-56.6319,-48.3626,-70.0000,-63.2157,-63.8651,-52.5260,-59.1613,-70.0000,-69.0831,-69.2098,-56.6274,-70.0000,-66.3120
57,-61.2870,-66.6450,-62.7871,-69.2171,-55.1806,-63.9485,-63.9335,-53.0335,-61.5541,-70.0000,-56.1751,-67.6303,-70.0000,-59.7471,-60.2747,-61.1629,-46.1729,-63.1343,-58.4782,-70.0000,-70.0000,-70.0000,-58.5883,-65.3168,-62.9249,-50.9582,-60.3872,-70.0000,-64.7511,-66.5812,-56.2919,-59.5587,-47.0320,-57.6958,-70.0000,-70.0000,-63.2129,-59.7008,-51.1544,-70.0000,-67.3867,-66.3451,-50.3940,-63.4974,-70.0000,-70.0000,-70.0000,-57.0362,-68.3096,-66.1568
58,-61.2972,-66.4056,-67.2173,-70.0000,-55.2065,-61.0448,-59.2550,-54.6885,-60.2961,-70.0000,-56.6819,-70.0000,-70.0000,-62.8890,-61.2565,-66.1156,-52.1501,-66.3987,-60.7098,-65.1608,-66.7488,-70.0000,-55.3342,-65.0181,-58.2879,-52.6573,-61.0516,-66.6112,-60.0979,-65.8631,-55.1613,-62.3430,-51.9592,-58.8754,-65.5193,-70.0000,-60.5398,-61.2220,-56.7657,-70.0000,-63.1334,-68.0593,-53.8516,-61.0029,-65.5494,-70.0000,-68.2651,-55.6740,-70.0000,-64.1223
59,-57.7981,-63.9620,-68.2059,-70.0000,-55.2209,-61.7067,-62.0656,-58.4203,-62.2916,-70.0000,-62.1246,-70.0000,-70.0000,-64.3090,-64.9225,-66.4440,-49.9970,-68.0010,-58.5902,-63.3738,-68.2209,-66.1469,-58.5693,-66.3992,-59.4889,-54.5277,-57.8274,-63.1112,-59.3172,-63.3305,-53.8983,-62.6447,-56.0340,-55.7869,-66.1632,-70.0000,-61.0450,-63.7062,-57.0743,-69.5477,-66.4724,-70.0000,-50.6204,-62.3758,-63.6632,-67.6947,-67.2218,-57.7044,-70.0000,-61.0834
60,-59.7030,-68.3790,-70.0000,-68.1728,-60.1671,-58.2282,-62.5464,-61.4953,-67.2262,-65.6215,-59.2044,-69.7573,-66.5758,-63.2826,-67.3673,-70.0000,-51.3161,-70.0000,-58.7580,-60.6360,-70.0000,-68.0360,-61.5388,-64.0097,-59.7551,-52.9910,-60.1332,-67.6864,-57.5033,-63.3385,-53.1936,-63.6927,-56.8233,-54.8599,-64.6111,-70.0000,-56.5635,-59.3436,-57.1640,-70.0000,-65.1259,-68.3257,-50.7843,-60.0166,-61.9670,-70.0000,-68.1577,-58.2649,-70.0000,-62.8732
61,-63.1727,-65.5315,-70.0000,-70.0000,-57.0495,-59.6475,-67.5736,-63.4887,-69.4086,-63.8481,-55.3759,-68.4637,-70.0000,-65.7826,-68.9660,-66.2888,-47.3659,-70.0000,-61.7018,-64.3842,-69.3498,-69.3417,-65.5708,-65.9065,-58.4076,-52.1879,-63.8196,-63.4386,-56.0132,-59.0260,-52.8339,-64.4521,-53.8862,-52.8130,-67.9532,-67.6237,-62.2318,-58.7521,-57.7191,-65.5155,-68.3835,-65.8020,-51.0694,-63.6137,-57.4674,-69.7532,-66.1589,-63.2213,-68.1984,-66.8229
62,-60.5225,-62.1895,-67.1444,-70.0000,-56.7056,-56.5509,-64.1753,-60.2713,-65.6513,-67.9891,-59.5044,-65.2735,-70.0000,-66.8178,-67.5481,-63.9721,-46.7241,-66.7898,-65.0602,-67.3875,-65.0671,-67.6107,-68.6727,-62.5094,-62.4694,-52.4453,-63.7143,-58.9923,-57.5835,-57.5964,-52.0866,-65.9248,-59.1667,-51.3012,-63.1664,-70.0000,-65.0305,-55.3555,-57.2499,-61.0725,-64.2510,-65.2811,-53.1765,-68.9269,-58.6875,-70.0000,-62.0299,-65.2071,-67.1851,-63.3080
63,-61.2120,-67.3346,-70.0000,-66.2324,-60.1869,-54.1337,-68.9681,-56.6309,-67.1671,-70.0000,-59.8754,-64.3435,-70.0000,-66.4344,-67.4486,-60.1649,-49.7419,-70.0000,-61.4357,-66.3391,-64.4219,-69.0134,-70.0000,-58.4373,-58.3954,-57.6565,-62.5198,-64.4829,-57.8287,-56.1871,-55.2702,-68.3045,-57.8486,-54.2089,-62.0998,-70.0000,-61.3139,-56.8892,-57.9280,-64.2350,-64.7590,-68.5604,-51.4890,-70.0000,-54.5356,-70.0000,-58.0257,-69.5768,-70.0000,-61.9554
64,-57.0271,-68.5697,-70.0000,-70.0000,-57.5646,-58.5303,-70.0000,-55.4431,-69.9907,-67.2442,-59.2810,-61.2684,-70.0000,-66.5027,-67.7632,-64.7342,-50.4369,-68.1353,-57.0226,-69.5271,-67.6286,-70.0000,-68.4678,-61.5201,-59.0356,-56.9746,-67.2585,-68.8731,-61.1023,-60.9792,-57.6441,-69.2170,-54.4238,-57.6394,-67.0179,-65.9232,-65.7085,-54.3553,-63.4868,-65.3489,-66.4548,-69.2760,-47.7942,-70.0000,-56.2232,-70.0000,-57.6395,-68.8248,-68.8821,-60.5555
65,-59.7389,-69.3444,-70.0000,-66.4317,-59.1757,-59.6028,-69.2010,-51.3808,-70.0000,-70.0000,-61.9057,-64.0786,-70.0000,-65.0381,-70.0000,-69.4164,-48.5237,-70.0000,-53.0466,-70.0000,-69.4983,-70.0000,-64.2548,-58.6557,-57.4886,-60.1729,-64.4630,-67.2611,-61.7755,-59.1985,-53.7494,-66.8986,-59.2220,-54.8446,-70.0000,-69.9633,-70.0000,-50.4363,-64.4433,-63.4237,-70.0000,-68.3151,-51.0158,-70.0000,-56.4162,-69.9439,-62.1874,-70.0000,-64.6143,-59.0038
66,-58.5682,-70.0000,-65.2247,-62.2306,-63.6927,-61.9118,-68.2311,-51.8104,-70.0000,-70.0000,-64.2746,-63.1656,-65.2191,-68.3605,-68.9022,-65.2714,-44.7415,-70.0000,-56.0553,-66.9894,-70.0000,-70.0000,-64.5743,-54.4845,-62.5771,-58.3592,-69.4165,-62.5378,-62.8600,-61.5373,-59.1101,-63.6006,-57.1361,-54.5683,-70.0000,-68.3799,-70.0000,-47.1956,-65.5386,-60.2669,-67.7204,-70.0000,-53.3561,-70.0000,-61.6409,-66.9953,-59.2952,-70.0000,-62.0859,-58.0383
67,-59.8790,-69.3151,-61.3276,-60.6244,-68.1906,-58.2991,-67.5855,-56.1392,-70.0000,-65.5427,-64.2563,-65.4920,-61.6714,-70.0000,-70.0000,-63.5212,-45.6404,-70.0000,-57.2345,-63.8685,-69.8212,-66.4991,-60.1676,-57.0481,-65.6779,-57.2981,-69.6598,-62.0710,-62.0589,-66.8549,-64.5626,-67.6818,-62.7096,-58.2334,-70.0000,-70.0000,-70.0000,-51.8461,-61.3691,-57.9824,-69.6162,-69.1426,-49.9860,-70.0000,-58.3528,-69.5359,-57.7651,-68.4663,-60.4484,-57.2276
68,-58.5162,-68.0237,-60.0952,-65.0364,-70.0000,-57.3488,-64.4345,-54.1781,-65.0127,-69.3898,-66.4773,-69.0575,-62.4558,-65.7600,-70.0000,-59.2303,-43.6971,-70.0000,-57.1092,-60.2083,-70.0000,-68.9066,-64.2727,-61.3794,-64.3668,-57.3578,-70.0000,-67.0776,-61.5239,-70.0000,-64.8139,-67.9529,-63.0346,-60.0733,-69.3992,-68.5778,-70.0000,-51.3750,-64.4902,-55.4096,-70.0000,-70.0000,-47.7850,-65.1024,-57.0795,-67.1643,-60.7014,-68.7588,-59.4658,-53.6849
69,-59.0660,-67.2547,-55.6958,-63.9564,-70.0000,-53.1410,-62.0011,-51.2631,-69.4364,-70.0000,-64.3848,-70.0000,-60.5993,-66.4282,-65.0806,-62.8877,-43.4375,-69.8554,-53.9757,-60.1567,-69.2425,-67.7607,-60.1896,-60.4202,-67.1465,-56.8324,-66.8899,-62.8013,-59.7469,-70.0000,-64.7170,-63.6542,-66.9252,-65.0297,-68.3734,-70.0000,-70.0000,-48.6585,-68.8529,-59.8386,-68.4701,-68.8752,-51.5574,-66.1660,-55.6083,-63.4418,-64.6933,-70.0000,-58.2434,-58.0034
70,-60.3715,-63.9978,-53.6342,-59.4148,-65.4563,-49.6281,-64.5446,-50.3344,-64.5208,-65.4188,-61.8728,-70.0000,-64.6765,-68.6603,-64.0970,-59.0264,-40.1628,-67.7709,-56.6623,-63.3445,-68.1420,-68.2214,-56.2409,-62.7824,-70.0000,-55.4832,-63.9333,-62.5901,-62.3464,-68.6302,-65.8797,-60.1453,-62.5797,-67.5238,-70.0000,-65.2235,-70.0000,-48.8964,-65.1753,-64.8721,-65.2038,-70.0000,-53.1084,-61.5351,-55.2387,-66.2489,-64.5163,-67.6691,-62.8792,-56.9541
71,-60.2307,-68.7301,-50.8960,-55.2086,-65.3010,-46.0053,-60.0145,-49.6893,-67.0210,-66.6834,-59.0387,-70.0000,-69.7186,-70.0000,-62.4900,-61.4491,-43.3197,-68.7950,-59.3584,-66.2676,-70.0000,-64.6848,-55.6300,-62.5551,-70.0000,-58.7929,-62.4887,-66.9130,-59.3507,-66.0885,-69.1460,-60.4796,-63.6173,-65.7875,-66.1229,-62.0339,-70.0000,-51.5985,-67.9944,-62.3857,-65.6394,-65.3810,-55.3711,-65.2066,-51.3396,-68.9791,-61.8576,-69.2311,-66.7912,-58.0051
72,-59.3687,-64.2833,-51.5252,-59.6978,-63.7647,-47.1357,-64.1720,-50.4887,-67.3911,-69.1206,-59.2365,-70.0000,-69.1601,-69.9790,-62.1438,-66.4980,-42.7955,-69.1681,-59.5345,-70.0000,-69.7318,-65.5708,-59.1474,-58.8157,-67.8548,-64.2111,-63.2204,-64.7454,-57.3399,-64.6878,-70.0000,-62.1025,-66.3692,-66.0230,-64.5374,-63.0706,-70.0000,-53.4706,-70.0000,-59.5731,-60.8656,-65.7144,-54.0011,-62.8072,-49.2649,-70.0000,-60.5509,-68.5959,-62.4637,-58.1507
73,-57.8746,-68.1381,-54.9832,-56.1063,-59.3236,-43.7210,-62.3856,-52.5641,-70.0000,-66.9367,-54.9158,-67.6344,-66.8921,-70.0000,-57.9326,-61.9915,-44.2876,-65.3883,-62.3563,-70.0000,-66.4122,-61.1284,-64.0871,-60.1387,-69.2189,-64.0221,-59.0633,-60.1278,-62.4901,-60.5118,-70.0000,-61.9211,-70.0000,-66.2832,-67.9516,-67.7907,-69.9202,-53.5966,-70.0000,-61.6493,-65.2325,-70.0000,-55.4179,-62.3658,-48.9233,-70.0000,-56.6412,-65.5783,-63.8478,-56.9946
74,-58.2294,-63.7695,-59.8788,-61.2745,-62.8099,-49.9030,-62.6122,-57.9267,-66.9575,-70.0000,-60.2273,-64.0595,-70.0000,-65.1003,-56.9030,-59.8349,-45.0994,-64.7842,-64.5750,-67.4435,-66.3965,-59.7959,-63.0498,-63.7150,-66.3750,-60.7203,-59.3472,-56.6310,-59.6720,-61.7525,-66.4883,-63.6448,-69.5047,-67.3987,-65.6939,-66.5457,-70.0000,-52.3803,-70.0000,-59.2936,-66.3493,-66.2576,-51.7745,-64.5779,-49.5896,-70.0000,-56.7101,-66.6901,-67.6768,-56.0506
75,-56.9125,-65.5246,-58.1366,-58.0991,-66.0513,-47.5999,-60.2655,-59.0242,-62.1410,-70.0000,-58.9769,-63.1565,-67.5219,-69.4104,-54.0607,-60.6392,-44.3533,-60.7491,-64.0587,-70.0000,-67.0146,-64.7826,-59.4061,-59.7214,-62.3363,-58.6163,-63.0438,-53.3339,-60.7181,-60.2822,-67.8611,-60.2839,-70.0000,-65.1284,-68.0071,-67.7041,-70.0000,-53.1496,-67.5392,-58.7768,-67.8801,-66.1360,-48.3408,-62.4876,-51.9703,-67.6069,-59.1242,-67.5975,-70.0000,-59.6341
76,-59.3695,-66.7380,-62.0838,-57.8584,-67.3307,-48.1698,-60.9411,-58.7438,-59.9331,-65.9861,-61.6666,-64.7197,-68.7983,-70.0000,-58.2710,-65.2541,-44.6070,-63.4205,-66.9098,-70.0000,-70.0000,-62.9212,-60.4474,-60.6085,-61.3092,-60.1651,-62.0049,-51.5179,-58.0503,-65.1624,-70.0000,-58.0763,-70.0000,-69.5101,-70.0000,-65.7306,-68.8862,-58.9826,-63.4757,-55.4028,-64.7453,-61.9792,-46.6958,-64.2286,-54.4699,-64.1474,-62.0901,-67.8903,-65.0690,-59.7975
77,-64.0827,-64.5161,-61.5900,-59.5978,-65.7161,-48.9444,-61.2872,-58.2312,-60.0005,-62.1604,-60.7054,-60.5424,-70.0000,-68.3660,-62.5408,-63.6391,-44.0870,-60.6496,-65.5280,-70.0000,-70.0000,-63.3013,-62.3631,-63.1599,-66.6981,-59.0196,-62.6230,-51.9993,-62.2671,-60.9753,-68.6954,-62.4277,-70.0000,-67.8091,-66.4497,-68.0604,-70.0000,-57.6777,-65.4741,-53.7495,-64.2637,-64.0501,-50.6082,-65.2391,-53.6016,-64.6392,-62.7166,-69.1626,-63.8470,-57.2020
78,-62.5179,-60.2011,-65.4934,-64.0730,-70.0000,-49.4856,-61.4656,-55.7845,-63.1209,-64.0039,-65.2246,-61.5201,-65.7793,-66.6916,-61.8659,-59.9750,-42.2822,-64.1904,-65.0203,-70.0000,-70.0000,-59.1412,-58.0508,-61.8852,-67.3961,-62.9085,-63.6013,-56.9791,-58.1085,-65.6889,-67.0392,-67.3651,-65.0393,-70.0000,-67.4110,-70.0000,-70.0000,-56.1160,-62.7038,-59.0479,-59.7321,-63.1984,-48.1042,-64.7039,-59.1774,-62.4415,-66.9042,-65.5457,-68.0990,-62.1307
79,-60.4569,-57.0265,-61.4685,-61.8157,-68.3311,-55.2604,-65.7773,-59.3493,-66.0017,-66.3089,-66.1706,-62.4177,-67.2885,-62.0644,-60.0119,-64.2428,-40.3322,-69.0756,-63.1362,-70.0000,-67.3163,-64.0958,-54.9477,-61.2639,-70.0000,-67.5782,-63.8648,-58.2097,-55.9432,-69.1449,-63.1897,-63.6095,-60.7336,-70.0000,-68.5630,-70.0000,-67.1965,-52.4545,-59.5507,-56.1356,-60.5332,-66.9981,-51.1955,-65.3212,-58.0536,-63.5747,-70.0000,-66.0960,-63.4929,-63.9011
80,-65.3525,-58.2974,-63.4553,-60.9474,-69.3133,-59.1986,-65.1321,-59.7314,-61.3600,-68.1915,-70.0000,-60.1306,-64.0578,-59.4609,-57.3579,-62.9750,-44.2010,-65.2147,-61.1133,-70.0000,-64.9071,-65.6312,-52.5495,-62.1739,-68.5838,-66.8107,-61.5800,-54.8856,-53.3169,-65.9809,-68.1649,-59.6800,-65.4132,-67.3315,-65.5544,-67.1798,-67.9445,-50.7121,-64.3827,-52.6223,-58.4868,-70.0000,-49.9995,-68.5083,-59.1362,-67.8218,-67.4889,-67.7251,-63.7257,-62.5785
81,-60.9874,-54.0072,-67.3351,-64.9100,-70.0000,-60.1877,-70.0000,-62.4924,-56.8567,-64.7998,-66.0043,-59.1024,-67.7669,-61.0860,-57.2512,-65.1639,-46.2740,-68.1906,-58.8006,-70.0000,-65.4986,-63.0050,-49.8835,-61.5473,-68.2547,-68.0253,-58.8676,-51.1814,-56.0321,-66.1508,-63.3696,-63.7775,-62.9774,-65.3750,-69.7379,-63.6544,-70.0000,-48.9668,-65.0581,-57.8289,-56.9675,-66.4993,-50.8241,-64.8736,-61.7717,-69.4272,-69.6987,-70.0000,-59.2762,-67.3535
82,-63.5620,-53.9734,-64.5081,-65.8376,-65.1512,-60.1085,-67.0721,-59.5358,-56.7400,-64.5193,-63.5432,-57.7346,-70.0000,-62.8987,-53.4570,-69.7830,-42.5240,-66.6596,-60.2783,-70.0000,-62.8119,-59.5468,-49.8903,-58.5302,-70.0000,-68.7525,-61.4818,-54.0417,-54.0692,-64.7742,-68.6818,-63.4257,-65.0865,-60.8690,-67.6418,-68.0515,-67.9976,-47.7776,-60.6257,-60.5438,-62.0266,-62.8146,-55.9563,-69.1247,-58.7739,-67.7035,-65.8826,-68.5394,-62.8621,-66.7891
83,-67.9661,-51.2537,-68.9447,-65.9972,-64.9639,-63.3392,-68.8282,-56.8036,-61.6345,-64.3025,-63.8030,-55.7461,-70.0000,-61.3520,-58.4397,-70.0000,-48.4352,-65.7525,-56.3771,-70.0000,-59.3733,-55.6643,-50.3323,-56.3150,-68.0537,-70.0000,-59.6090,-52.3850,-55.1580,-60.1294,-69.5200,-63.5437,-64.6249,-61.4266,-67.9174,-69.4086,-68.1040,-44.4044,-64.5709,-63.1156,-58.5741,-63.5746,-55.8776,-70.0000,-54.7474,-66.4790,-65.1860,-70.0000,-63.3335,-65.2935
84,-63.8859,-54.7315,-70.0000,-67.5960,-69.9545,-59.0886,-64.3206,-59.9137,-65.2967,-66.4932,-61.3977,-55.6367,-70.0000,-60.2680,-62.8516,-66.5727,-45.4308,-69.4496,-60.2737,-70.0000,-57.5199,-55.3680,-53.2562,-61.4114,-70.0000,-70.0000,-57.0085,-51.5034,-54.6542,-64.0682,-66.4277,-65.1447,-69.5607,-62.4796,-69.1366,-67.8275,-65.2990,-41.3001,-67.9029,-67.2861,-54.6615,-63.8036,-57.5674,-68.8881,-56.8750,-64.4625,-60.8357,-70.0000,-67.6024,-68.1996
85,-60.7603,-55.6231,-68.5542,-70.0000,-70.0000,-61.6776,-61.6459,-58.3202,-62.1659,-62.6215,-64.0068,-56.5173,-66.1842,-56.2125,-60.7093,-62.6985,-50.4575,-70.0000,-63.3500,-67.0790,-61.5784,-53.9460,-55.6803,-60.0078,-70.0000,-69.3046,-61.1469,-52.1721,-53.7099,-60.6417,-62.4886,-62.2389,-70.0000,-65.4488,-70.0000,-69.2387,-61.0450,-41.8517,-64.2084,-67.4210,-59.3422,-66.7858,-60.3134,-67.1487,-52.8892,-61.3177,-59.4500,-66.6587,-66.0922,-64.8912
86,-58.4060,-59.3592,-70.0000,-70.0000,-70.0000,-61.1984,-61.6231,-58.2420,-58.5216,-62.8882,-67.5347,-59.3337,-70.0000,-59.7232,-58.8739,-63.3874,-47.6890,-70.0000,-65.6358,-70.0000,-63.3521,-51.8663,-57.1280,-64.8700,-70.0000,-66.2537,-61.0893,-56.2727,-49.9153,-59.3419,-58.1758,-63.3734,-67.0188,-65.4835,-68.4468,-69.1006,-59.8066,-40.8081,-59.7370,-69.2267,-63.9118,-70.0000,-63.5128,-64.2058,-53.4444,-64.9753,-61.7756,-63.5745,-70.0000,-65.1067
87,-62.6860,-59.0790,-70.0000,-67.0708,-66.7994,-60.0666,-62.6318,-56.5761,-56.6064,-62.8118,-62.8290,-55.4024,-69.3765,-59.4903,-63.3135,-66.3927,-52.1151,-70.0000,-67.3217,-68.5622,-64.2320,-49.5945,-59.2051,-66.0509,-66.4608,-65.7001,-63.6083,-60.2523,-48.3864,-59.8823,-59.6855,-60.3150,-68.5193,-63.5771,-70.0000,-69.7525,-58.1092,-46.6330,-58.5907,-69.8577,-62.6044,-66.6476,-68.1998,-67.7509,-49.8364,-64.6127,-66.3104,-62.7307,-70.0000,-64.0176
88,-63.9830,-57.2337,-66.6434,-70.0000,-64.4662,-56.1591,-60.6507,-59.4314,-58.8683,-65.0413,-65.7310,-52.2900,-70.0000,-61.4374,-67.2164,-70.0000,-55.2989,-70.0000,-70.0000,-67.3651,-61.2264,-47.9160,-60.8697,-63.6081,-68.8179,-61.3936,-65.2502,-58.0928,-54.4469,-58.8764,-60.9697,-57.2458,-68.9974,-64.8497,-70.0000,-70.0000,-55.1438,-43.7083,-63.1610,-70.0000,-61.3898,-62.4822,-69.4833,-66.1022,-48.2732,-66.2071,-62.6323,-67.5481,-70.0000,-63.8766
