Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Neuron_30,Neuron_31,Neuron_32,Neuron_33,Neuron_34,Neuron_35,Neuron_36,Neuron_37,Neuron_38,Neuron_39,Neuron_40,Neuron_41,Neuron_42,Neuron_43,Neuron_44,Neuron_45,Neuron_46,Neuron_47,Neuron_48,Neuron_49
13,-68.6925,-34.6794,-30.5339,-38.5336,-34.2623,-32.2509,-67.0315,-29.6970,-54.3335,-70.0000,-33.2014,-38.9615,-32.0291,-38.0438,-37.7195,-68.7926,-30.3623,-17.1302,-31.5484,-32.2784,-30.6455,-29.6159,-35.1717,-40.6328,-50.4726,-30.5453,-21.1177,-28.8153,-32.4759,-69.2110,-25.4125,-70.0000,-42.0371,-27.7757,-41.2937,-37.4333,-25.6969,-38.2822,-48.7136,-38.4278,-27.4024,-38.3464,-70.0000,-58.3286,-38.2863,-43.2618,-38.2376,-70.0000,-44.8951,-33.0909
14,-70.0000,-40.5972,-35.6812,-38.6788,-34.6685,-36.4373,-65.0489,-35.1322,-57.1207,-66.7546,-39.1761,-44.1591,-29.8011,-44.3910,-38.0548,-69.3869,-33.0122,-23.9054,-31.3641,-29.3273,-36.1932,-35.8412,-32.9745,-44.6583,-48.2020,-33.7067,-21.4987,-35.5838,-31.4045,-70.0000,-26.4043,-68.6155,-42.2114,-31.0516,-45.0720,-36.1475,-31.7661,-43.1364,-48.1593,-35.7517,-28.2070,-43.1974,-65.4064,-55.3610,-44.8572,-47.5423,-35.5366,-68.8336,-48.4108,-32.4841
15,-70.0000,-40.3573,-36.2718,-43.0447,-33.0966,-40.1515,-68.1019,-32.0073,-60.4472,-62.3242,-43.6347,-41.4172,-36.0410,-50.5731,-40.2765,-67.6660,-38.7499,-24.4244,-28.4135,-32.9045,-35.7203,-41.2981,-37.6891,-45.1200,-51.8061,-32.2717,-23.1647,-33.4886,-35.1056,-66.7409,-32.1765,-69.1850,-43.1456,-28.2179,-49.9435,-36.0633,-31.6225,-44.9161,-48.4270,-42.4457,-35.2433,-47.2656,-62.2539,-52.5541,-41.8162,-44.0213,-42.0981,-65.3328,-50.7425,-38.2816
16,-68.9342,-44.3319,-35.5286,-42.1439,-32.8234,-44.5164,-70.0000,-33.6955,-61.5656,-62.7252,-48.5897,-38.8419,-41.8711,-55.9068,-38.3817,-70.0000,-44.0503,-28.0566,-32.7927,-29.9646,-32.9878,-42.2466,-39.9653,-45.9262,-56.9641,-30.3338,-23.9441,-39.6365,-37.9995,-68.4505,-37.7960,-68.3454,-40.2795,-32.9218,-54.8207,-41.8663,-29.1321,-44.1390,-45.7244,-42.5501,-37.0461,-48.9726,-61.8118,-53.3652,-38.7797,-48.6372,-45.2120,-67.8732,-54.9047,-36.9989
17,-65.7150,-41.5826,-39.4474,-42.4771,-35.7244,-47.3944,-70.0000,-38.6775,-59.6144,-63.9738,-52.8381,-43.0197,-45.2339,-59.9484,-38.4794,-70.0000,-42.6761,-31.3980,-34.1565,-28.9374,-39.5273,-47.2366,-44.0816,-50.5289,-61.8981,-27.3905,-27.2380,-42.5632,-36.6403,-66.6608,-41.8535,-65.0693,-44.4698,-34.0781,-58.3474,-48.0941,-31.7856,-43.5738,-45.7725,-46.6949,-38.2121,-50.1047,-60.8560,-54.9285,-44.6811,-54.6521,-45.0135,-63.2899,-51.9822,-42.6426
18,-61.1989,-38.8952,-40.5428,-47.9926,-34.1415,-48.4377,-66.4713,-38.1437,-60.6745,-67.5562,-56.7776,-43.4597,-45.0918,-55.7692,-35.3405,-65.8101,-40.0309,-37.9377,-40.4254,-30.6265,-42.5675,-52.4624,-43.0568,-50.2893,-60.8768,-27.4755,-27.6415,-45.5880,-35.5537,-66.1001,-39.8928,-68.5261,-46.4693,-32.1317,-60.0205,-51.8443,-37.5771,-39.9277,-45.3607,-49.6409,-44.0914,-49.3397,-65.6614,-54.7189,-42.7847,-58.8965,-50.6408,-61.5661,-48.6577,-41.9480
19,-65.3317,-41.2826,-37.9586,-44.2453,-40.2724,-46.0918,-70.0000,-36.8450,-59.5470,-68.7818,-53.5180,-45.9515,-49.9327,-52.4127,-38.0185,-61.8647,-45.3003,-38.0828,-42.7461,-36.9887,-45.2414,-53.7667,-41.6613,-50.2499,-59.8712,-33.2011,-26.7390,-47.4464,-40.5235,-63.0349,-41.3832,-70.0000,-45.7795,-34.5978,-55.5751,-52.0475,-41.6658,-41.9071,-45.9082,-47.1428,-43.4159,-52.0612,-67.9101,-50.5810,-47.9741,-58.9358,-49.5547,-64.2876,-47.3661,-41.2582
20,-61.2091,-39.7985,-38.1723,-40.6088,-44.7566,-48.2197,-70.0000,-34.2170,-59.1895,-69.7478,-49.8924,-51.8784,-51.8620,-53.1484,-38.2914,-58.0888,-49.7518,-36.9110,-46.3000,-40.3064,-43.2183,-53.6423,-41.3901,-50.7003,-61.2929,-36.9408,-30.9244,-45.0778,-40.2254,-68.0093,-40.8130,-69.0760,-43.0419,-41.3083,-54.4388,-48.3406,-40.2826,-45.9665,-50.9276,-48.8072,-43.1427,-49.2216,-68.8071,-46.8398,-47.7040,-61.0434,-49.2729,-61.2628,-53.0453,-43.8804
21,-57.8414,-37.8310,-39.1527,-38.2186,-44.3976,-45.2865,-70.0000,-37.6855,-60.0695,-66.6019,-46.0642,-55.3029,-50.1384,-58.3151,-38.8909,-59.7534,-45.9932,-42.9042,-47.5835,-44.4904,-48.9789,-52.6996,-40.2293,-54.7031,-65.3798,-37.2868,-33.8889,-50.8629,-46.4290,-70.0000,-40.3537,-69.1136,-41.5109,-47.4766,-59.1041,-44.9365,-45.1419,-49.6412,-54.9918,-52.2228,-40.1541,-51.7521,-68.1231,-51.1205,-48.1717,-58.9454,-51.8047,-60.6377,-55.8908,-45.5769
22,-59.3641,-37.7219,-43.7995,-43.5184,-50.5791,-49.2462,-67.7821,-39.0878,-58.0508,-62.5090,-43.8419,-59.4607,-47.6264,-63.4228,-38.7128,-59.1958,-51.3000,-41.5284,-47.2354,-48.0806,-47.8076,-58.1264,-37.0585,-57.5628,-61.3242,-42.7497,-38.9829,-48.1503,-47.9385,-65.3720,-44.1779,-70.0000,-38.7583,-43.6767,-60.9414,-49.0450,-48.4632,-45.9860,-53.6275,-52.6753,-43.4848,-48.5822,-64.8267,-56.4137,-47.1594,-56.0692,-53.2107,-59.8607,-53.8193,-49.3064
